# Wavelength (nm), Rrs
400,0.00739562057817374
402,0.007564273397151553
404,0.007734907314748109
406,0.007908659382196951
408,0.0080850696053743
410,0.008264334376879684
412,0.008446841696917522
414,0.008631094569683018
416,0.008820108763052462
418,0.009012605533798098
420,0.009207109196074986
422,0.009405018232633488
424,0.009607215200223935
426,0.009810867496260556
428,0.010019397638719217
430,0.010229685756831057
432,0.010444387490050144
434,0.01066043642377977
436,0.010881666857213913
438,0.011105231135981395
440,0.011335037189756682
442,0.011568878508865585
444,0.0118068579553791
446,0.012048580072564843
448,0.012295214280823903
450,0.012545617481704973
452,0.012798972831391923
454,0.013056013945540701
456,0.013315902048978433
458,0.013578443352004891
460,0.013844824777229231
462,0.014113923101358599
464,0.014386513151044753
466,0.014662883384842302
468,0.014940007444098999
470,0.015222919398034948
472,0.015507054425215607
474,0.015793565935769693
476,0.01608258604605644
478,0.016372058758547407
480,0.016664911029362788
482,0.016954941024938313
484,0.017248881872343805
486,0.017544989630291347
488,0.017836264025175325
490,0.018130273237860907
492,0.018421304978353707
494,0.01871236706494317
496,0.01899462013673864
498,0.01926189599822828
500,0.019525093407121913
502,0.019774947720411242
504,0.020018527465207464
506,0.02025796252434183
508,0.02048862111992019
510,0.020714796128403254
512,0.02092878047936117
514,0.021143360650195953
516,0.021358683807048737
518,0.021569520290227674
520,0.021859832453721036
522,0.022134636967724768
524,0.02250405998633883
526,0.022698019937825373
528,0.023045798869146032
530,0.0233199017509088
532,0.023515373499897265
534,0.023745740137943627
536,0.02394727082501705
538,0.024175760307738197
540,0.024358598390585996
542,0.024595282150053664
544,0.02469235933058997
546,0.02484274362080201
548,0.024960245515140683
550,0.025036891153365028
552,0.02511687663144848
554,0.025216293798748367
556,0.02535362541886712
558,0.025511224348599197
560,0.02564400371705225
562,0.025772000093980816
564,0.02590258943362913
566,0.02597229245332025
568,0.02606229352373747
570,0.026062699821844976
572,0.026026684385622993
574,0.025949079605122643
576,0.02580112167431207
578,0.02565822444634199
580,0.025350006540497145
582,0.025113669993621923
584,0.024614953664431578
586,0.02412501654832768
588,0.023541138012008692
590,0.02291704578722653
592,0.022320523812514214
594,0.021720760510846676
596,0.020995670235876968
598,0.020163614511409054
600,0.0183905719863872
602,0.01782305153327215
604,0.01753751450838932
606,0.01702918439548345
608,0.016827597237436293
610,0.01673658508511496
612,0.01669792041269727
614,0.016654903207807943
616,0.01661394260504584
618,0.016583550905165594
620,0.01653635198841578
622,0.016473482740129847
624,0.01640995425130588
626,0.016360500057268204
628,0.016295621614319588
630,0.016215034332145377
632,0.016134178961693023
634,0.016089170302728634
636,0.016029221291711113
638,0.01593004223905611
640,0.015841537524049074
642,0.015759786235961967
644,0.01566434364785435
646,0.015552670820622805
648,0.015448547430124526
650,0.015305811882365551
652,0.015180855983967985
654,0.015012573228834317
656,0.014773610652434394
658,0.014415447008723284
660,0.013998884205947885
662,0.013641873442824906
664,0.013429656061275504
666,0.013307502855626372
668,0.013253032165604467
670,0.013204140009529285
672,0.01314813333350761
674,0.013105827227850694
676,0.013002619105251318
678,0.012910751746679877
680,0.012819595184291514
682,0.012698479621454607
684,0.012550932404175473
686,0.012385236511944264
688,0.012194812865463093
690,0.011982651967908408
692,0.01172064060090424
694,0.011423080818083868
696,0.011130927130972327
698,0.010766954071796165
700,0.010385678364250453
702,0.010000386852750733
704,0.009597668799431554
706,0.009205988019474578
708,0.00880164426489882
710,0.0083753651737787
712,0.007939199604842555
714,0.007488236199360705
716,0.007008585787194746
718,0.006528271705900969
720,0.006062834502238504
722,0.005614359045845661
724,0.005208751889691827
726,0.004847965134618011
728,0.004501102236807287
730,0.004154614473354889
732,0.0037928013210598317
734,0.003425386865077163
736,0.003107786718757367
738,0.002876794580309717
740,0.0027273937190796143
742,0.0026367458970000717
744,0.0025903633284728353
746,0.0025631041640516035
748,0.002545615727163595
750,0.002535193781060283
752,0.00252829960892645
754,0.0025226713876860757
756,0.002517151342072704
758,0.002509730069557479
760,0.002502694991577782
762,0.00250079591573341
764,0.002500107599692232
766,0.002503750799111372
768,0.0025117641001732756
770,0.0025178043743838215
772,0.0025231650510159605
774,0.0025389530255050014
776,0.0025577447445162944
778,0.002576170992787784
780,0.002604696879166831
782,0.0026292541504134045
784,0.002655449596526852
786,0.002691173979940799
788,0.002728594136955456
790,0.002771746085741659
792,0.0028198067537223734
794,0.0028644368505011623
796,0.0029038248885893294
798,0.002952625241902738
800,0.003001844200612586
802,0.0030853728922553086
804,0.0031095240355020694
806,0.0031253639583940797
808,0.0031329046482122713
810,0.0031403423440127154
812,0.0031211153615810236
814,0.003102118324268028
816,0.003064742462864884
818,0.003010429186705376
820,0.002957880769672497
822,0.00282336466457221
824,0.00270054272602155
826,0.002551871529423062
828,0.0023870815674761877
830,0.002242344814715771
832,0.0020878877026533705
834,0.00195333050224329
836,0.0018681513380931906
838,0.0018214699782240008
840,0.0017770619564072795
842,0.0017553336774198435
844,0.0017341705561976348
846,0.0017135916998770465
848,0.0016936533080181046
850,0.0016741722770708687
852,0.0016575687034229433
854,0.0016412901555001747
856,0.0016239724233876832
858,0.0016056908076026502
860,0.0015878151510315675
862,0.0015640285349626448
864,0.001540909894717653
866,0.0015201288432965402
868,0.0015015246084811808
870,0.001483338768142632
872,0.0014583218750205962
874,0.001434133653742754
876,0.0014036175483542802
878,0.001367642690988035
880,0.0013334643248345782
882,0.0013074893149557657
884,0.0012825058405904512
886,0.0012585900840500245
888,0.0012356761008632939
890,0.0012135806341454602
892,0.0011924973816050777
894,0.001172133353926652
896,0.0011523049370255737
898,0.0011329751145885282
900,0.0011142823916835247
