255, band 17 module 5 CCD column 730 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    11356.954329       0.000000
    11358.821167       0.000000
    11360.687832       0.000000
    11362.555898       0.000000
    11364.423791       0.000000
    11366.293086       0.000000
    11368.162207       0.000000
    11370.032733       0.000000
    11371.903084       0.000001
    11373.774841       0.000002
    11375.646424       0.000005
    11377.519413       0.000013
    11379.392229       0.000031
    11381.266452       0.000074
    11383.140502       0.000167
    11385.015960       0.000363
    11386.891245       0.000761
    11388.767939       0.001535
    11390.644460       0.002978
    11392.522392       0.005557
    11394.400150       0.009979
    11396.279321       0.017242
    11398.158318       0.028666
    11400.038728       0.045864
    11401.918966       0.070628
    11403.800617       0.104707
    11405.682096       0.149483
    11407.564195       0.205595
    11409.447711       0.272571
    11411.331053       0.348602
    11413.215813       0.430544
    11415.100400       0.514225
    11416.986405       0.595030
    11418.872237       0.668661
    11420.759489       0.731884
    11422.646568       0.783041
    11424.535068       0.822197
    11426.423395       0.850838
    11428.313144       0.871273
    11430.202720       0.885906
    11432.093719       0.896655
    11433.984546       0.904677
    11435.876797       0.910452
    11437.768875       0.914129
    11439.662379       0.915912
    11441.555711       0.916316
    11443.450468       0.916155
    11445.345054       0.916291
    11447.241067       0.917307
    11449.136909       0.919273
    11451.034179       0.921743
    11452.931276       0.923997
    11454.829804       0.925415
    11456.728160       0.925796
    11458.627947       0.925457
    11460.527562       0.925080
    11462.428609       0.925367
    11464.329485       0.926686
    11466.231793       0.928886
    11468.133931       0.931369
    11470.037502       0.933398
    11471.940903       0.934460
    11473.845738       0.934530
    11475.750403       0.934085
    11477.656504       0.933862
    11479.562434       0.934485
    11481.469802       0.936156
    11483.376999       0.938546
    11485.285634       0.940965
    11487.194099       0.942707
    11489.104004       0.943407
    11491.013738       0.943225
    11492.924914       0.942764
    11494.835918       0.942771
    11496.748365       0.943758
    11498.660642       0.945743
    11500.574362       0.948242
    11502.487912       0.950511
    11504.402906       0.951921
    11506.317730       0.952274
    11508.234000       0.951906
    11510.150099       0.951518
    11512.067646       0.951821
    11513.985022       0.953178
    11515.903847       0.955425
    11517.822502       0.957946
    11519.742606       0.959986
    11521.662540       0.961033
    11523.583925       0.961074
    11525.505139       0.960604
    11527.426995       0.960377
    11529.350303       0.961025
    11531.273441       0.962741
    11533.198033       0.965179
    11535.122455       0.967628
    11537.048332       0.969372
    11538.974040       0.970049
    11540.901203       0.969833
    11542.828197       0.969303
    11544.756648       0.969248
    11546.684930       0.970200
    11548.614670       0.972163
    11550.544241       0.974635
    11552.475271       0.976853
    11554.406133       0.978184
    11556.338455       0.978099
    11558.270608       0.977211
    11560.204223       0.976321
    11562.137669       0.976149
    11564.072578       0.977053
    11566.007318       0.978850
    11567.943523       0.980905
    11569.879559       0.982372
    11571.817060       0.982813
    11573.754393       0.982241
    11575.693192       0.981168
    11577.631823       0.980360
    11579.571922       0.980449
    11581.511852       0.981615
    11583.453252       0.983495
    11585.394483       0.985367
    11587.337185       0.986512
    11589.279718       0.986577
    11591.223723       0.985753
    11593.167560       0.984680
    11595.112869       0.984123
    11597.058011       0.984585
    11599.004626       0.986059
    11600.951074       0.988026
    11602.898997       0.989719
    11604.846752       0.990509
    11606.795983       0.990220
    11608.745047       0.989222
    11610.695588       0.988240
    11612.645962       0.987993
    11614.597814       0.988829
    11616.549499       0.990550
    11618.502664       0.992513
    11620.455662       0.993950
    11622.410141       0.994362
    11624.364452       0.993762
    11626.320246       0.992676
    11628.275873       0.991874
    11630.232984       0.991982
    11632.189927       0.993169
    11634.148356       0.995059
    11636.106617       0.996923
    11638.066365       0.998042
    11640.025946       0.998073
    11641.987014       0.997220
    11643.947915       0.996127
    11645.910305       0.995548
    11647.872529       0.995961
    11649.835413       0.997299
    11651.799789       0.998952
    11653.763997       1.000000
    11655.729698       0.999565
    11657.695231       0.997071
    11659.662258       0.992255
    11661.629119       0.984915
    11663.597474       0.974485
    11665.565662       0.959676
    11667.535346       0.938381
    11669.504864       0.907964
    11671.475879       0.865887
    11673.446728       0.810495
    11675.419074       0.741682
    11677.391255       0.661210
    11679.364934       0.572586
    11681.338449       0.480501
    11683.313463       0.390033
    11685.288312       0.305811
    11687.264662       0.231363
    11689.240847       0.168766
    11691.218535       0.118626
    11693.196057       0.080316
    11695.175084       0.052362
    11697.153945       0.032865
    11699.134311       0.019855
    11701.114513       0.011545
    11703.096220       0.006461
    11705.077763       0.003479
    11707.060814       0.001803
    11709.043700       0.000899
    11711.028094       0.000431
    11713.012324       0.000199
    11714.998065       0.000088
    11716.983641       0.000038
    11718.970728       0.000016
    11720.957650       0.000006
    11722.946086       0.000002
    11724.934357       0.000001
    11726.924142       0.000000
    11728.913763       0.000000
    11730.904899       0.000000
    11732.895871       0.000000
    11734.888359       0.000000
    11736.880683       0.000000
    11738.874525       0.000000
    11740.868204       0.000000
