158, band 11 module 3 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13916.984812       0.000000
    13918.811464       0.000000
    13920.638596       0.000001
    13922.465024       0.000001
    13924.293115       0.000002
    13926.120503       0.000003
    13927.949554       0.000006
    13929.779086       0.000009
    13931.607914       0.000014
    13933.438407       0.000023
    13935.269381       0.000036
    13937.099651       0.000056
    13938.931587       0.000086
    13940.764006       0.000131
    13942.595719       0.000198
    13944.429101       0.000296
    13946.261778       0.000437
    13948.096124       0.000639
    13949.930953       0.000925
    13951.765076       0.001326
    13953.600871       0.001880
    13955.437148       0.002638
    13957.272720       0.003663
    13959.109964       0.005036
    13960.947691       0.006851
    13962.784713       0.009227
    13964.623409       0.012299
    13966.461398       0.016228
    13968.301062       0.021194
    13970.141211       0.027400
    13971.980653       0.035067
    13973.821771       0.044429
    13975.663375       0.055728
    13977.504272       0.069204
    13979.346846       0.085090
    13981.189906       0.103596
    13983.032259       0.124896
    13984.876292       0.149121
    13986.719617       0.176342
    13988.564622       0.206558
    13990.410114       0.239693
    13992.254898       0.275584
    13994.101363       0.313983
    13995.948317       0.354555
    13997.794561       0.396893
    13999.642490       0.440520
    14001.490906       0.484914
    14003.338613       0.529519
    14005.188006       0.573772
    14007.037887       0.617122
    14008.887059       0.659050
    14010.737917       0.699094
    14012.588066       0.736857
    14014.439903       0.772025
    14016.292229       0.804369
    14018.143845       0.833749
    14019.997150       0.860112
    14021.850946       0.883482
    14023.704031       0.903950
    14025.558807       0.921663
    14027.414074       0.936811
    14029.268630       0.949611
    14031.124879       0.960296
    14032.980416       0.969108
    14034.837647       0.976282
    14036.695369       0.982046
    14038.552380       0.986614
    14040.411087       0.990181
    14042.270285       0.992925
    14044.128772       0.995002
    14045.988955       0.996547
    14047.849630       0.997678
    14049.709595       0.998489
    14051.571256       0.999061
    14053.432206       0.999453
    14055.294854       0.999713
    14057.157997       0.999875
    14059.020427       0.999965
    14060.884557       1.000000
    14062.749182       0.999994
    14064.613094       0.999956
    14066.478707       0.999897
    14068.344816       0.999824
    14070.210212       0.999746
    14072.077311       0.999671
    14073.943696       0.999605
    14075.811786       0.999553
    14077.680372       0.999518
    14079.548244       0.999500
    14081.417823       0.999497
    14083.287898       0.999503
    14085.157258       0.999514
    14087.028327       0.999523
    14088.899892       0.999526
    14090.770743       0.999521
    14092.643303       0.999505
    14094.515148       0.999479
    14096.388704       0.999420
    14098.262757       0.999357
    14100.136096       0.999292
    14102.011146       0.999226
    14103.886695       0.999159
    14105.761529       0.999089
    14107.638075       0.999013
    14109.515122       0.998927
    14111.391452       0.998829
    14113.269497       0.998715
    14115.146826       0.998569
    14117.025871       0.998390
    14118.905416       0.998200
    14120.784245       0.998003
    14122.664791       0.997804
    14124.545838       0.997606
    14126.426169       0.997413
    14128.308218       0.997224
    14130.190769       0.997039
    14132.072603       0.996852
    14133.956157       0.996659
    14135.838994       0.996451
    14137.723552       0.996222
    14139.608613       0.995963
    14141.492956       0.995666
    14143.379023       0.995321
    14145.265592       0.994915
    14147.151444       0.994430
    14149.039020       0.993841
    14150.927100       0.993114
    14152.814461       0.992202
    14154.703549       0.991042
    14156.593141       0.989557
    14158.482014       0.987652
    14160.372616       0.985212
    14162.262497       0.982102
    14164.154109       0.978167
    14166.046225       0.973232
    14167.937622       0.967104
    14169.830749       0.959574
    14171.724383       0.950418
    14173.617296       0.939407
    14175.511942       0.926305
    14177.407094       0.910888
    14179.301526       0.892947
    14181.197691       0.872305
    14183.093137       0.848824
    14184.990317       0.822420
    14186.888004       0.793079
    14188.784971       0.760861
    14190.683674       0.725907
    14192.582885       0.688448
    14194.481375       0.648796
    14196.381604       0.607340
    14198.282341       0.564535
    14200.182356       0.520889
    14202.084111       0.476938
    14203.985144       0.433232
    14205.887917       0.390308
    14207.791201       0.348678
    14209.693762       0.308799
    14211.598066       0.271070
    14213.502880       0.235811
    14215.406971       0.203262
    14217.312806       0.173581
    14219.219153       0.146839
    14221.124776       0.123037
    14223.032145       0.102102
    14224.938790       0.083909
    14226.847182       0.068284
    14228.756087       0.055022
    14230.664267       0.043898
    14232.574196       0.034674
    14234.484638       0.027115
    14236.394355       0.020992
    14238.305822       0.016088
    14240.217803       0.012205
    14242.129059       0.009166
    14244.042067       0.006813
    14245.954350       0.005013
    14247.868385       0.003651
    14249.782935       0.002632
    14251.696760       0.001878
    14253.612339       0.001327
    14255.528433       0.000927
    14257.443801       0.000642
    14259.360926       0.000439
    14261.278566       0.000298
    14263.195480       0.000200
    14265.114151       0.000133
    14267.032097       0.000087
    14268.951801       0.000057
    14270.872021       0.000036
    14272.791515       0.000023
    14274.712770       0.000015
    14276.634541       0.000009
    14278.555586       0.000006
    14280.478392       0.000003
    14282.401717       0.000002
    14284.324314       0.000001
    14286.248675       0.000001
    14288.172308       0.000000
    14290.097705       0.000000
