188, band 13 module 3 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13030.170842       0.000000
    13031.132588       0.000000
    13032.094476       0.000000
    13033.055469       0.000000
    13034.017641       0.000001
    13034.979954       0.000001
    13035.941373       0.000001
    13036.903971       0.000002
    13037.866711       0.000002
    13038.829593       0.000003
    13039.791580       0.000004
    13040.754746       0.000006
    13041.718055       0.000008
    13042.681506       0.000011
    13043.644062       0.000015
    13044.607798       0.000019
    13045.571676       0.000026
    13046.535696       0.000034
    13047.498821       0.000045
    13048.463126       0.000059
    13049.427574       0.000077
    13050.391125       0.000100
    13051.355859       0.000129
    13052.320734       0.000167
    13053.285753       0.000214
    13054.249874       0.000274
    13055.215178       0.000350
    13056.180624       0.000445
    13057.146213       0.000563
    13058.110905       0.000710
    13059.076780       0.000891
    13060.042798       0.001115
    13061.007917       0.001390
    13061.974221       0.001725
    13062.940667       0.002134
    13063.907257       0.002629
    13064.872947       0.003226
    13065.839823       0.003944
    13066.806841       0.004804
    13067.774003       0.005828
    13068.740266       0.007044
    13069.707714       0.008481
    13070.675305       0.010171
    13071.643040       0.012153
    13072.609874       0.014464
    13073.577895       0.017150
    13074.546060       0.020258
    13075.513324       0.023838
    13076.481775       0.027944
    13077.450370       0.032634
    13078.419108       0.037967
    13079.386945       0.044005
    13080.355970       0.050811
    13081.325139       0.058448
    13082.294451       0.066977
    13083.262862       0.076466
    13084.232462       0.086975
    13085.202205       0.098561
    13086.171047       0.111280
    13087.141077       0.125178
    13088.111252       0.140297
    13089.081570       0.156671
    13090.050986       0.174322
    13091.021592       0.193265
    13091.992342       0.213499
    13092.963235       0.235015
    13093.933227       0.257787
    13094.904409       0.281777
    13095.875734       0.306932
    13096.847204       0.333183
    13097.817771       0.360448
    13098.789529       0.388628
    13099.761431       0.417616
    13100.732430       0.447291
    13101.704621       0.477520
    13102.676956       0.508160
    13103.649435       0.539063
    13104.621011       0.570070
    13105.593778       0.601023
    13106.566691       0.631757
    13107.539747       0.662112
    13108.511900       0.691925
    13109.485246       0.721040
    13110.458736       0.749305
    13111.431321       0.776576
    13112.405100       0.802718
    13113.379024       0.827603
    13114.353093       0.851116
    13115.326256       0.873181
    13116.300614       0.893762
    13117.275117       0.912693
    13118.249764       0.929902
    13119.223506       0.945328
    13120.198443       0.958917
    13121.173525       0.970627
    13122.148752       0.980422
    13123.123073       0.988274
    13124.098589       0.994164
    13125.074251       0.998076
    13126.049006       1.000000
    13127.024958       0.999933
    13128.001055       0.997874
    13128.977297       0.993831
    13129.952632       0.987812
    13130.929165       0.979835
    13131.905842       0.969921
    13132.882665       0.958195
    13133.858581       0.944653
    13134.835694       0.929279
    13135.812953       0.912124
    13136.789304       0.893250
    13137.766854       0.872729
    13138.744549       0.850644
    13139.722390       0.827090
    13140.699322       0.802172
    13141.677454       0.776005
    13142.655731       0.748716
    13143.634154       0.720439
    13144.611668       0.691320
    13145.590382       0.661509
    13146.569242       0.631162
    13147.548248       0.600441
    13148.526344       0.569505
    13149.505641       0.538519
    13150.485085       0.507626
    13151.463618       0.476999
    13152.443353       0.446788
    13153.423234       0.417134
    13154.403261       0.388169
    13155.382377       0.360015
    13156.362696       0.332781
    13157.343161       0.306561
    13158.323772       0.281438
    13159.303472       0.257479
    13160.284376       0.234737
    13161.265425       0.213250
    13162.245564       0.193042
    13163.226906       0.174126
    13164.208394       0.156498
    13165.190029       0.140147
    13166.170752       0.125048
    13167.152680       0.111168
    13168.134754       0.098467
    13169.116974       0.086895
    13170.098282       0.076400
    13171.080796       0.066923
    13172.063455       0.058403
    13173.045203       0.050778
    13174.028156       0.043983
    13175.011256       0.037954
    13175.994502       0.032628
    13176.976836       0.027944
    13177.960376       0.023842
    13178.944063       0.020265
    13179.927896       0.017159
    13180.910817       0.014475
    13181.894944       0.012163
    13182.879218       0.010182
    13183.863640       0.008491
    13184.847147       0.007054
    13185.831862       0.005838
    13186.816725       0.004813
    13187.800673       0.003953
    13188.785829       0.003234
    13189.771133       0.002635
    13190.756584       0.002140
    13191.741120       0.001730
    13192.726865       0.001394
    13193.712758       0.001119
    13194.698798       0.000894
    13195.683923       0.000712
    13196.670257       0.000565
    13197.656739       0.000447
    13198.642306       0.000352
    13199.629083       0.000276
    13200.616007       0.000215
    13201.603079       0.000168
    13202.589235       0.000130
    13203.576603       0.000100
    13204.564118       0.000077
    13205.551780       0.000059
    13206.538526       0.000045
    13207.526484       0.000034
    13208.514590       0.000026
    13209.502844       0.000020
    13210.490181       0.000015
    13211.478730       0.000011
    13212.467427       0.000008
    13213.455207       0.000006
    13214.444201       0.000005
    13215.433342       0.000003
    13216.422631       0.000002
    13217.411003       0.000002
    13218.400588       0.000001
    13219.390322       0.000001
    13220.380204       0.000001
    13221.369167       0.000000
    13222.359345       0.000000
    13223.349672       0.000000
    13224.339080       0.000000
