130, band 9 module 4 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14664.941794       0.000001
    14666.700922       0.000001
    14668.460473       0.000002
    14670.219133       0.000002
    14671.979528       0.000004
    14673.740346       0.000005
    14675.501586       0.000008
    14677.261935       0.000012
    14679.024020       0.000018
    14680.786530       0.000026
    14682.548146       0.000039
    14684.311502       0.000056
    14686.075281       0.000080
    14687.839484       0.000114
    14689.602794       0.000162
    14691.367844       0.000228
    14693.133319       0.000318
    14694.899218       0.000440
    14696.664223       0.000606
    14698.430971       0.000827
    14700.198144       0.001121
    14701.965742       0.001508
    14703.732445       0.002015
    14705.500893       0.002673
    14707.269766       0.003521
    14709.037745       0.004603
    14710.807469       0.005975
    14712.577619       0.007699
    14714.348196       0.009851
    14716.117877       0.012514
    14717.889305       0.015783
    14719.661160       0.019764
    14721.433442       0.024573
    14723.204828       0.030337
    14724.977963       0.037187
    14726.751525       0.045264
    14728.524191       0.054708
    14730.298608       0.065662
    14732.073452       0.078262
    14733.848724       0.092635
    14735.623099       0.108896
    14737.399227       0.127138
    14739.175783       0.147433
    14740.952767       0.169821
    14742.728854       0.194310
    14744.506695       0.220870
    14746.284965       0.249430
    14748.062336       0.279879
    14749.841464       0.312062
    14751.621022       0.345784
    14753.401008       0.380814
    14755.180096       0.416885
    14756.960941       0.453704
    14758.742217       0.490959
    14760.523923       0.528323
    14762.304729       0.565468
    14764.087295       0.602071
    14765.870291       0.637820
    14767.652388       0.672429
    14769.436245       0.705639
    14771.220534       0.737227
    14773.005254       0.767007
    14774.789073       0.794836
    14776.574656       0.820616
    14778.360670       0.844288
    14780.147116       0.865835
    14781.932660       0.885277
    14783.719970       0.902667
    14785.507712       0.918085
    14787.294551       0.931634
    14789.083158       0.943436
    14790.872197       0.953622
    14792.661670       0.962333
    14794.450239       0.969712
    14796.240577       0.975901
    14798.031349       0.981039
    14799.822554       0.985260
    14801.612855       0.988689
    14803.404928       0.991442
    14805.197434       0.993624
    14806.990374       0.995331
    14808.782411       0.996648
    14810.576220       0.997649
    14812.370463       0.998397
    14814.163802       0.998946
    14815.958915       0.999341
    14817.754463       0.999616
    14819.550446       0.999799
    14821.345524       0.999913
    14823.142378       0.999972
    14824.939667       0.999989
    14826.737393       1.000000
    14828.534212       0.999994
    14830.332810       0.999960
    14832.131844       0.999903
    14833.929971       0.999823
    14835.729878       0.999721
    14837.530221       0.999597
    14839.331002       0.999453
    14841.130875       0.999287
    14842.932530       0.999100
    14844.734622       0.998890
    14846.537152       0.998656
    14848.338774       0.998402
    14850.142179       0.998124
    14851.946023       0.997815
    14853.748958       0.997472
    14855.553678       0.997090
    14857.358836       0.996665
    14859.164433       0.996191
    14860.969121       0.995659
    14862.775596       0.995060
    14864.582510       0.994381
    14866.389864       0.993603
    14868.196307       0.992705
    14870.004540       0.991657
    14871.813212       0.990422
    14873.620974       0.988960
    14875.430526       0.987217
    14877.240519       0.985132
    14879.050952       0.982634
    14880.860474       0.979640
    14882.671788       0.976058
    14884.483544       0.971788
    14886.295740       0.966717
    14888.107025       0.960725
    14889.920104       0.953686
    14891.733625       0.945467
    14893.546233       0.935933
    14895.360637       0.924950
    14897.175483       0.912388
    14898.990772       0.898125
    14900.805147       0.882051
    14902.621321       0.864074
    14904.437937       0.844126
    14906.254995       0.822164
    14908.071141       0.798181
    14909.889086       0.772201
    14911.707474       0.744291
    14913.526306       0.714557
    14915.344224       0.683143
    14917.163943       0.650237
    14918.984107       0.616062
    14920.803356       0.580871
    14922.624407       0.544945
    14924.445903       0.508585
    14926.267845       0.472102
    14928.088870       0.435812
    14929.911701       0.400024
    14931.734977       0.365036
    14933.558698       0.331124
    14935.381503       0.298537
    14937.206115       0.267491
    14939.031173       0.238166
    14940.855315       0.210701
    14942.681265       0.185198
    14944.507661       0.161715
    14946.334504       0.140276
    14948.160429       0.120866
    14949.988165       0.103439
    14951.816348       0.087923
    14953.644978       0.074224
    14955.472691       0.062227
    14957.302215       0.051809
    14959.132188       0.042834
    14960.961242       0.035166
    14962.792110       0.028669
    14964.623426       0.023207
    14966.455190       0.018653
    14968.286035       0.014886
    14970.118696       0.011796
    14971.951806       0.009280
    14973.785365       0.007249
    14975.618005       0.005622
    14977.452462       0.004329
    14979.287368       0.003309
    14981.121355       0.002512
    14982.957161       0.001893
    14984.793416       0.001416
    14986.630122       0.001051
    14988.465907       0.000775
    14990.303513       0.000568
    14992.141570       0.000412
    14993.980078       0.000298
    14995.817664       0.000213
    14997.657074       0.000152
    14999.496935       0.000107
    15001.335873       0.000075
    15003.176637       0.000052
    15005.017852       0.000036
    15006.859520       0.000025
    15008.700264       0.000017
    15010.542836       0.000011
    15012.385860       0.000008
    15014.229336       0.000005
    15016.071889       0.000003
    15017.916272       0.000002
    15019.761107       0.000001
    15021.606395       0.000001
    15023.450759       0.000001
