169, band 12 module 2 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13128.406052       0.000000
    13129.813741       0.000000
    13131.221732       0.000000
    13132.630025       0.000000
    13134.038620       0.000000
    13135.447517       0.000000
    13136.856717       0.000000
    13138.266219       0.000000
    13139.676023       0.000000
    13141.085076       0.000000
    13142.495486       0.000000
    13143.906198       0.000000
    13145.317213       0.000000
    13146.728532       0.000000
    13148.140153       0.000000
    13149.552077       0.000000
    13150.964305       0.000001
    13152.376836       0.000001
    13153.789671       0.000003
    13155.202809       0.000005
    13156.616251       0.000008
    13158.029996       0.000014
    13159.444046       0.000024
    13160.858399       0.000041
    13162.273056       0.000067
    13163.688018       0.000110
    13165.102226       0.000177
    13166.517796       0.000282
    13167.933670       0.000442
    13169.349849       0.000685
    13170.766333       0.001046
    13172.183121       0.001577
    13173.600215       0.002345
    13175.017613       0.003442
    13176.435316       0.004985
    13177.853324       0.007124
    13179.271638       0.010046
    13180.690257       0.013980
    13182.109181       0.019197
    13183.528411       0.026014
    13184.947946       0.034788
    13186.367787       0.045909
    13187.787935       0.059790
    13189.208388       0.076848
    13190.628085       0.097484
    13192.049149       0.122053
    13193.470520       0.150835
    13194.892198       0.184003
    13196.314182       0.221592
    13197.736472       0.263472
    13199.159069       0.309330
    13200.581973       0.358660
    13202.005183       0.410769
    13203.428701       0.464794
    13204.852525       0.519744
    13206.276657       0.574541
    13207.701096       0.628083
    13209.125842       0.679314
    13210.550896       0.727281
    13211.976257       0.771204
    13213.401925       0.810518
    13214.826836       0.844902
    13216.253120       0.874292
    13217.679712       0.898866
    13219.106611       0.919008
    13220.533819       0.935255
    13221.961336       0.948238
    13223.389160       0.958609
    13224.817293       0.966985
    13226.245735       0.973891
    13227.674485       0.979727
    13229.103543       0.984756
    13230.532911       0.989108
    13231.962587       0.992807
    13233.392573       0.995806
    13234.822867       0.998033
    13236.253471       0.999432
    13237.684385       1.000000
    13239.115607       0.999806
    13240.546069       0.998997
    13241.977910       0.997786
    13243.410062       0.996425
    13244.842523       0.995172
    13246.275294       0.994252
    13247.708374       0.993824
    13249.141766       0.993956
    13250.575467       0.994616
    13252.009478       0.995679
    13253.443800       0.996950
    13254.878433       0.998162
    13256.313376       0.999091
    13257.748630       0.999567
    13259.184194       0.999474
    13260.620070       0.998786
    13262.056257       0.997580
    13263.492754       0.996016
    13264.929563       0.994318
    13266.365609       0.992732
    13267.803041       0.991490
    13269.240784       0.990767
    13270.678838       0.990655
    13272.117205       0.991152
    13273.555883       0.992154
    13274.994873       0.993474
    13276.434175       0.994876
    13277.873790       0.996112
    13279.313716       0.996966
    13280.753955       0.997284
    13282.194506       0.997002
    13283.635370       0.996158
    13285.076547       0.994880
    13286.518036       0.993373
    13287.959838       0.991875
    13289.401953       0.990625
    13290.843303       0.989818
    13292.286044       0.989575
    13293.729099       0.989922
    13295.172466       0.990781
    13296.616148       0.991986
    13298.060142       0.993302
    13299.504451       0.994467
    13300.949073       0.995221
    13302.394009       0.995352
    13303.839259       0.994713
    13305.284823       0.993238
    13306.730701       0.990934
    13308.176894       0.987861
    13309.623400       0.984097
    13311.070222       0.979693
    13312.517358       0.974631
    13313.964808       0.968784
    13315.412574       0.961892
    13316.859572       0.953559
    13318.307967       0.943260
    13319.756677       0.930383
    13321.205702       0.914275
    13322.655043       0.894307
    13324.104699       0.869941
    13325.554671       0.840791
    13327.004958       0.806678
    13328.455561       0.767663
    13329.906480       0.724060
    13331.357715       0.676428
    13332.809265       0.625541
    13334.261132       0.572342
    13335.713315       0.517881
    13337.165815       0.463252
    13338.618631       0.409524
    13340.071763       0.357686
    13341.524126       0.308595
    13342.977891       0.262942
    13344.431974       0.221233
    13345.886373       0.183782
    13347.341090       0.150722
    13348.796123       0.122020
    13350.251474       0.097507
    13351.707143       0.076908
    13353.163128       0.059870
    13354.619432       0.045998
    13356.076053       0.034877
    13357.532992       0.026098
    13358.990248       0.019273
    13360.447823       0.014045
    13361.905716       0.010100
    13363.363927       0.007168
    13364.822456       0.005020
    13366.281304       0.003469
    13367.739379       0.002366
    13369.198864       0.001592
    13370.658667       0.001057
    13372.118790       0.000693
    13373.579231       0.000448
    13375.039991       0.000286
    13376.501070       0.000180
    13377.962469       0.000112
    13379.424187       0.000069
    13380.886224       0.000041
    13382.348581       0.000025
    13383.811257       0.000015
    13385.274254       0.000008
    13386.737570       0.000005
    13388.201206       0.000003
    13389.665163       0.000002
    13391.129439       0.000001
    13392.592941       0.000000
    13394.057858       0.000000
    13395.523096       0.000000
    13396.988654       0.000000
    13398.454533       0.000000
    13399.920732       0.000000
    13401.387253       0.000000
    13402.854095       0.000000
    13404.321257       0.000000
    13405.788741       0.000000
    13407.256547       0.000000
    13408.724674       0.000000
    13410.193122       0.000000
    13411.661892       0.000000
    13413.130984       0.000000
    13414.600397       0.000000
