122, band 9 module 1 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14661.746248       0.000000
    14663.505922       0.000000
    14665.264707       0.000000
    14667.025226       0.000000
    14668.786168       0.000000
    14670.546219       0.000000
    14672.308007       0.000000
    14674.070218       0.000000
    14675.831537       0.000000
    14677.594595       0.000000
    14679.358076       0.000000
    14681.120665       0.000000
    14682.884993       0.000000
    14684.649746       0.000000
    14686.413606       0.000000
    14688.179207       0.000000
    14689.945233       0.000000
    14691.710366       0.000000
    14693.477240       0.000001
    14695.244540       0.000002
    14697.010947       0.000003
    14698.779097       0.000006
    14700.547673       0.000010
    14702.315354       0.000018
    14704.084781       0.000031
    14705.854634       0.000054
    14707.623592       0.000091
    14709.394297       0.000150
    14711.165428       0.000246
    14712.935664       0.000396
    14714.707648       0.000629
    14716.480059       0.000984
    14718.251575       0.001518
    14720.024840       0.002307
    14721.798532       0.003456
    14723.571329       0.005102
    14725.345876       0.007421
    14727.120851       0.010639
    14728.894929       0.015031
    14730.670760       0.020928
    14732.447019       0.028717
    14734.222381       0.038834
    14735.999496       0.051758
    14737.777041       0.067988
    14739.553688       0.088021
    14741.332089       0.112323
    14743.110921       0.141283
    14744.888854       0.175178
    14746.668544       0.214126
    14748.448663       0.258047
    14750.227884       0.306632
    14752.008863       0.359323
    14753.790272       0.415318
    14755.570782       0.473582
    14757.353051       0.532899
    14759.135751       0.591931
    14760.917552       0.649297
    14762.701113       0.703671
    14764.485105       0.753872
    14766.268198       0.798947
    14768.053052       0.838250
    14769.838339       0.871473
    14771.622725       0.898668
    14773.408874       0.920217
    14775.195455       0.936777
    14776.981136       0.949202
    14778.768582       0.958441
    14780.556459       0.965434
    14782.343436       0.971019
    14784.132179       0.975854
    14785.921355       0.980373
    14787.709630       0.984771
    14789.499672       0.989026
    14791.290147       0.992953
    14793.079721       0.996270
    14794.871063       0.998684
    14796.662840       0.999963
    14798.453713       1.000000
    14800.246358       0.998844
    14802.039436       0.996710
    14803.831612       0.993948
    14805.625559       0.990996
    14807.419942       0.988319
    14809.213421       0.986327
    14811.008673       0.985316
    14812.804360       0.985424
    14814.599144       0.986604
    14816.395702       0.988640
    14818.192696       0.991178
    14819.988785       0.993787
    14821.786651       0.996028
    14823.584953       0.997528
    14825.382350       0.998039
    14827.181525       0.997441
    14828.981137       0.995861
    14830.779843       0.993552
    14832.580328       0.990886
    14834.381250       0.988285
    14836.181266       0.986157
    14837.983063       0.984828
    14839.785298       0.984483
    14841.586626       0.985143
    14843.389736       0.986654
    14845.191939       0.988722
    14846.995925       0.990954
    14848.800350       0.992927
    14850.603868       0.994263
    14852.409170       0.994687
    14854.214911       0.994074
    14856.019744       0.992469
    14857.826363       0.990079
    14859.633421       0.987242
    14861.439571       0.984367
    14863.247509       0.981869
    14865.055886       0.980100
    14866.863355       0.979287
    14868.672613       0.979501
    14870.482310       0.980637
    14872.291099       0.982435
    14874.101678       0.984522
    14875.912698       0.986470
    14877.722808       0.987860
    14879.534709       0.988353
    14881.347053       0.987732
    14883.158485       0.985930
    14884.971711       0.983030
    14886.785379       0.979227
    14888.598136       0.974781
    14890.412688       0.969938
    14892.227682       0.964862
    14894.041765       0.959562
    14895.857644       0.953849
    14897.673966       0.947312
    14899.489376       0.939330
    14901.306584       0.929117
    14903.124235       0.915793
    14904.940973       0.898473
    14906.759511       0.876365
    14908.578493       0.848863
    14910.396562       0.815624
    14912.216431       0.776621
    14914.036745       0.732163
    14915.856145       0.682884
    14917.677348       0.629701
    14919.498995       0.573752
    14921.319728       0.516308
    14923.142265       0.458686
    14924.965247       0.402163
    14926.787315       0.347898
    14928.611188       0.296873
    14930.435507       0.249851
    14932.258911       0.207358
    14934.084121       0.169683
    14935.909778       0.136897
    14937.734519       0.108881
    14939.561068       0.085367
    14941.388064       0.065976
    14943.214144       0.050260
    14945.042034       0.037738
    14946.870371       0.027929
    14948.697792       0.020373
    14950.527023       0.014646
    14952.356703       0.010378
    14954.185465       0.007247
    14956.016040       0.004988
    14957.847063       0.003384
    14959.677169       0.002262
    14961.509089       0.001490
    14963.341457       0.000968
    14965.172908       0.000619
    14967.006174       0.000391
    14968.839889       0.000243
    14970.672686       0.000149
    14972.507300       0.000090
    14974.342364       0.000053
    14976.176508       0.000031
    14978.012472       0.000018
    14979.848885       0.000010
    14981.684379       0.000006
    14983.521693       0.000003
    14985.359458       0.000002
    14987.196302       0.000001
    14989.034968       0.000000
    14990.874086       0.000000
    14992.712283       0.000000
    14994.552303       0.000000
    14996.392774       0.000000
    14998.232325       0.000000
    15000.073700       0.000000
    15001.915528       0.000000
    15003.756434       0.000000
    15005.599166       0.000000
    15007.442350       0.000000
    15009.284613       0.000000
    15011.128703       0.000000
    15012.973247       0.000000
    15014.816868       0.000000
    15016.662318       0.000000
    15018.508221       0.000000
    15020.353202       0.000000
