287, band 20 module 1 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    10483.223228       0.000000
    10484.814521       0.000000
    10486.405627       0.000000
    10487.997887       0.000000
    10489.589959       0.000000
    10491.183186       0.000000
    10492.776226       0.000000
    10494.370421       0.000000
    10495.964428       0.000000
    10497.559593       0.000000
    10499.154569       0.000000
    10500.750031       0.000000
    10502.346650       0.000002
    10503.943082       0.000005
    10505.540672       0.000014
    10507.138075       0.000038
    10508.736638       0.000099
    10510.335013       0.000247
    10511.934549       0.000585
    10513.533897       0.001317
    10515.134406       0.002820
    10516.734728       0.005738
    10518.336213       0.011104
    10519.937510       0.020433
    10521.539970       0.035756
    10523.142242       0.059509
    10524.745679       0.094210
    10526.348928       0.141906
    10527.953342       0.203448
    10529.557568       0.277784
    10531.162961       0.361528
    10532.768166       0.449088
    10534.374537       0.533508
    10535.980721       0.607888
    10537.587395       0.667064
    10539.195238       0.708925
    10540.802892       0.734875
    10542.411716       0.749156
    10544.020352       0.757254
    10545.630158       0.763964
    10547.239776       0.771876
    10548.850566       0.780927
    10550.461167       0.789123
    10552.072941       0.794050
    10553.684527       0.794447
    10555.297285       0.791064
    10556.909856       0.786425
    10558.523601       0.783620
    10560.137158       0.784800
    10561.751889       0.790102
    10563.366433       0.797582
    10564.982153       0.804193
    10566.597685       0.807316
    10568.214392       0.806084
    10569.830913       0.801814
    10571.448610       0.797362
    10573.066121       0.795685
    10574.684809       0.798348
    10576.303310       0.804738
    10577.922306       0.812363
    10579.542481       0.818105
    10581.162470       0.819780
    10582.783638       0.817251
    10584.404619       0.812495
    10586.026781       0.808620
    10587.648756       0.808296
    10589.271912       0.812415
    10590.894882       0.819637
    10592.519033       0.827049
    10594.142999       0.831640
    10595.768147       0.831811
    10597.393109       0.828183
    10599.019254       0.823292
    10600.645213       0.820322
    10602.272357       0.821494
    10603.899315       0.826951
    10605.527458       0.834680
    10607.155415       0.841519
    10608.784558       0.844745
    10610.413515       0.843450
    10612.043659       0.839004
    10613.673617       0.834367
    10615.304076       0.832610
    10616.935723       0.835371
    10618.567184       0.842027
    10620.199835       0.850005
    10621.832300       0.856071
    10623.465955       0.858003
    10625.099424       0.855613
    10626.734084       0.850904
    10628.368558       0.847070
    10630.004225       0.846860
    10631.639705       0.851190
    10633.276379       0.858676
    10634.912866       0.866651
    10636.550548       0.871793
    10638.188043       0.872380
    10639.826734       0.869073
    10641.465238       0.864499
    10643.104939       0.861934
    10644.744453       0.863655
    10646.385164       0.869890
    10648.025689       0.878441
    10649.667412       0.886017
    10651.308949       0.889821
    10652.950992       0.888951
    10654.594235       0.884862
    10656.237291       0.880640
    10657.881547       0.879469
    10659.525617       0.882981
    10661.170889       0.890464
    10662.815974       0.899197
    10664.462261       0.905816
    10666.108363       0.908012
    10667.755667       0.905700
    10669.402785       0.901087
    10671.051107       0.897531
    10672.699243       0.897883
    10674.348584       0.903033
    10675.997739       0.911449
    10677.648099       0.919946
    10679.298274       0.925283
    10680.949655       0.925815
    10682.600851       0.922299
    10684.253254       0.917553
    10685.905471       0.915029
    10687.558896       0.917071
    10689.212136       0.923724
    10690.865887       0.932710
    10692.520848       0.940567
    10694.175623       0.944377
    10695.831609       0.943265
    10697.487409       0.938841
    10699.144421       0.934392
    10700.801247       0.933234
    10702.459286       0.937038
    10704.117139       0.944976
    10705.776205       0.954121
    10707.435086       0.960932
    10709.095182       0.963035
    10710.755091       0.960423
    10712.416216       0.955472
    10714.077156       0.951757
    10715.739311       0.952239
    10717.401281       0.957766
    10719.064469       0.966651
    10720.727470       0.975501
    10722.391690       0.980928
    10724.055725       0.981262
    10725.720978       0.977404
    10727.386046       0.972374
    10729.051632       0.969789
    10730.718437       0.972053
    10732.385057       0.979122
    10734.052898       0.988506
    10735.720555       0.996498
    10737.389433       1.000000
    10739.058126       0.997981
    10740.728042       0.991844
    10742.397774       0.984442
    10744.068729       0.978169
    10745.739499       0.973068
    10747.411493       0.965877
    10749.083303       0.950550
    10750.756339       0.920054
    10752.429190       0.868827
    10754.103267       0.794853
    10755.777160       0.700595
    10757.452280       0.592506
    10759.127216       0.479409
    10760.803380       0.370382
    10762.479359       0.272859
    10764.156568       0.191508
    10765.833592       0.127979
    10767.511138       0.081401
    10769.189916       0.049266
    10770.868508       0.028368
    10772.548333       0.015539
    10774.227973       0.008097
    10775.908846       0.004013
    10777.589534       0.001892
    10779.271456       0.000848
    10780.953193       0.000362
    10782.636165       0.000147
    10784.318953       0.000057
    10786.002975       0.000021
    10787.686814       0.000007
    10789.371889       0.000002
    10791.056780       0.000001
    10792.742908       0.000000
    10794.428852       0.000000
    10796.116034       0.000000
    10797.803032       0.000000
    10799.491269       0.000000
    10801.179322       0.000000
    10802.868615       0.000000
    10804.557724       0.000000
    10806.247362       0.000000
    10807.938241       0.000000
    10809.628936       0.000000
