259, band 18 module 2 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    11196.250022       0.000000
    11197.431480       0.000000
    11198.613953       0.000000
    11199.795910       0.000000
    11200.978117       0.000000
    11202.161339       0.000000
    11203.344045       0.000000
    11204.527767       0.000000
    11205.710973       0.000000
    11206.894429       0.000000
    11208.078901       0.000000
    11209.262858       0.000000
    11210.447064       0.000000
    11211.632288       0.000000
    11212.816994       0.000000
    11214.001952       0.000001
    11215.187927       0.000002
    11216.373386       0.000004
    11217.559095       0.000007
    11218.745823       0.000014
    11219.932034       0.000026
    11221.119264       0.000047
    11222.305977       0.000084
    11223.492941       0.000149
    11224.680925       0.000259
    11225.868391       0.000442
    11227.056109       0.000739
    11228.244847       0.001213
    11229.433068       0.001955
    11230.621540       0.003092
    11231.811034       0.004800
    11233.000009       0.007313
    11234.189236       0.010939
    11235.379486       0.016060
    11236.569217       0.023144
    11237.759971       0.032741
    11238.950206       0.045468
    11240.140694       0.061986
    11241.332205       0.082962
    11242.523197       0.109015
    11243.714442       0.140655
    11244.906711       0.178205
    11246.098460       0.221741
    11247.290463       0.271019
    11248.483490       0.325440
    11249.675999       0.384036
    11250.869532       0.445499
    11252.062546       0.508242
    11253.255813       0.570513
    11254.450107       0.630523
    11255.643880       0.686606
    11256.837907       0.737363
    11258.032961       0.781793
    11259.227495       0.819373
    11260.422282       0.850082
    11261.618097       0.874373
    11262.813392       0.893072
    11264.008941       0.907246
    11265.205518       0.918041
    11266.401574       0.926526
    11267.598660       0.933565
    11268.795224       0.939739
    11269.992044       0.945320
    11271.189892       0.950316
    11272.387220       0.954552
    11273.584802       0.957783
    11274.783414       0.959806
    11275.981506       0.960559
    11277.179851       0.960164
    11278.379229       0.958936
    11279.578084       0.957328
    11280.777195       0.955850
    11281.977337       0.954983
    11283.176958       0.955037
    11284.377611       0.956116
    11285.577742       0.958104
    11286.778129       0.960680
    11287.979549       0.963394
    11289.180446       0.965763
    11290.381600       0.967381
    11291.583787       0.968005
    11292.785451       0.967611
    11293.987372       0.966408
    11295.190327       0.964876
    11296.392759       0.963382
    11297.595448       0.962395
    11298.799172       0.962272
    11300.002373       0.963180
    11301.206609       0.965062
    11302.410323       0.967642
    11303.614293       0.970495
    11304.819300       0.973133
    11306.023784       0.975114
    11307.228524       0.976138
    11308.434302       0.976116
    11309.639556       0.975195
    11310.845067       0.973716
    11312.051616       0.972140
    11313.257641       0.970952
    11314.463923       0.970550
    11315.671245       0.971163
    11316.878042       0.972792
    11318.085879       0.975219
    11319.293191       0.978047
    11320.500761       0.980792
    11321.709371       0.982988
    11322.917456       0.984288
    11324.125800       0.984544
    11325.335184       0.983836
    11326.544044       0.982457
    11327.753161       0.980846
    11328.963320       0.979497
    11330.172955       0.978844
    11331.383631       0.979168
    11332.593782       0.980538
    11333.804192       0.982790
    11335.015644       0.985567
    11336.226571       0.988397
    11337.437757       0.990794
    11338.649986       0.992369
    11339.861690       0.992911
    11341.073653       0.992439
    11342.286660       0.991193
    11343.499141       0.989584
    11344.711882       0.988102
    11345.925667       0.987209
    11347.138927       0.987236
    11348.353232       0.988309
    11349.567010       0.990319
    11350.781049       0.992944
    11351.996133       0.995711
    11353.210691       0.998100
    11354.425509       0.999639
    11355.641374       1.000000
    11356.856713       0.999045
    11358.072311       0.996829
    11359.288957       0.993550
    11360.505076       0.989448
    11361.721456       0.984699
    11362.938884       0.979286
    11364.155785       0.972919
    11365.373735       0.964991
    11366.591158       0.954598
    11367.808841       0.940617
    11369.027574       0.921845
    11370.245779       0.897154
    11371.464246       0.865662
    11372.683763       0.826877
    11373.902752       0.780795
    11375.122003       0.727943
    11376.342305       0.669353
    11377.562078       0.606478
    11378.782113       0.541062
    11380.003201       0.474986
    11381.223759       0.410105
    11382.445371       0.348108
    11383.666454       0.290399
    11384.887798       0.238026
    11386.110196       0.191652
    11387.332066       0.151562
    11388.554197       0.117706
    11389.777383       0.089762
    11391.000039       0.067211
    11392.222958       0.049410
    11393.446932       0.035661
    11394.670377       0.025268
    11395.894877       0.017576
    11397.118847       0.012001
    11398.343080       0.008044
    11399.568369       0.005293
    11400.793129       0.003419
    11402.018152       0.002168
    11403.244231       0.001349
    11404.469781       0.000824
    11405.695594       0.000494
    11406.922465       0.000291
    11408.148805       0.000168
    11409.375409       0.000095
    11410.603072       0.000053
    11411.830204       0.000029
    11413.058394       0.000016
    11414.286055       0.000008
    11415.513979       0.000004
    11416.742963       0.000002
    11417.971416       0.000001
    11419.200133       0.000001
    11420.429911       0.000000
    11421.659158       0.000000
    11422.888669       0.000000
    11424.119242       0.000000
    11425.349282       0.000000
    11426.579588       0.000000
    11427.810956       0.000000
    11429.041792       0.000000
    11430.273691       0.000000
    11431.505058       0.000000
    11432.736690       0.000000
    11433.969385       0.000000
    11435.201548       0.000000
    11436.433977       0.000000
