1, band 1 module 1 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
158
Wavenumber (cm-1)   Filter response
    24334.936898       0.000000
    24341.954541       0.000000
    24348.976233       0.000000
    24356.001976       0.000000
    24363.031776       0.000000
    24370.065634       0.000000
    24377.103556       0.000000
    24384.145543       0.000000
    24391.191600       0.000000
    24398.241730       0.000000
    24405.295937       0.000000
    24412.354225       0.000000
    24419.416596       0.000001
    24426.483055       0.000003
    24433.553604       0.000006
    24440.628248       0.000013
    24447.706990       0.000030
    24454.789834       0.000063
    24461.876783       0.000131
    24468.966014       0.000263
    24476.061183       0.000514
    24483.160468       0.000974
    24490.263872       0.001795
    24497.371399       0.003211
    24504.483054       0.005578
    24511.598838       0.009409
    24518.718756       0.015412
    24525.842812       0.024514
    24532.971009       0.037866
    24540.103350       0.056758
    24547.239840       0.082634
    24554.380482       0.116866
    24561.525279       0.160580
    24568.674236       0.214415
    24575.827355       0.278296
    24582.984640       0.351249
    24590.146096       0.431323
    24597.311726       0.514913
    24604.481533       0.598409
    24611.655521       0.678474
    24618.833693       0.751601
    24626.016054       0.815026
    24633.202607       0.867104
    24640.393356       0.907490
    24647.588304       0.937071
    24654.787455       0.957668
    24661.990813       0.971580
    24669.196524       0.981038
    24676.408305       0.987817
    24683.624305       0.992982
    24690.844525       0.996879
    24698.068971       0.999337
    24705.297646       1.000000
    24712.530553       0.998663
    24719.767697       0.995517
    24727.009081       0.991166
    24734.254709       0.986511
    24741.504584       0.982488
    24748.758710       0.979765
    24756.017092       0.978526
    24763.279732       0.978421
    24770.546635       0.978695
    24777.817804       0.978463
    24785.093243       0.977021
    24792.372956       0.974075
    24799.656946       0.969872
    24806.945218       0.965099
    24814.237775       0.960643
    24821.534620       0.957278
    24828.835759       0.955394
    24836.141194       0.954860
    24843.450929       0.955087
    24850.764968       0.955198
    24858.083315       0.954369
    24865.404087       0.952114
    24872.731060       0.948449
    24880.062352       0.943890
    24887.397967       0.939271
    24894.737910       0.935452
    24902.082183       0.933022
    24909.430790       0.932090
    24916.783737       0.932248
    24924.141025       0.932721
    24931.502659       0.932638
    24938.868644       0.931332
    24946.238982       0.928574
    24953.613678       0.924648
    24960.992736       0.920246
    24968.376159       0.912171
    24975.763951       0.905039
    24983.156116       0.899283
    24990.552659       0.894693
    24997.953582       0.890642
    25005.358891       0.886311
    25012.768588       0.880978
    25020.182678       0.874279
    25027.601164       0.865984
    25035.024051       0.856687
    25042.451342       0.847483
    25049.883041       0.839119
    25057.319153       0.832034
    25064.759681       0.826213
    25072.202710       0.821194
    25079.652081       0.816240
    25087.105880       0.810623
    25094.564111       0.804032
    25102.026777       0.796181
    25109.493884       0.787437
    25116.965434       0.778475
    25124.441432       0.770040
    25131.921882       0.762679
    25139.406787       0.756554
    25146.896153       0.751391
    25154.389982       0.746731
    25161.888278       0.741780
    25169.391046       0.735876
    25176.898290       0.728778
    25184.410014       0.720669
    25191.926221       0.712084
    25199.446916       0.703720
    25206.972103       0.696182
    25214.501786       0.689828
    25222.035968       0.684693
    25229.574654       0.680138
    25237.117848       0.675507
    25244.665554       0.670182
    25252.217776       0.663796
    25259.774518       0.656362
    25267.335784       0.648261
    25274.901578       0.640102
    25282.469954       0.632683
    25290.044816       0.626288
    25297.624217       0.620932
    25305.208164       0.616312
    25312.796658       0.611875
    25320.389706       0.607009
    25327.987310       0.601265
    25335.589475       0.594509
    25343.196205       0.587043
    25350.807504       0.579437
    25358.423376       0.572128
    25366.043825       0.565590
    25373.668856       0.560014
    25381.298472       0.555247
    25388.932679       0.550839
    25396.571478       0.546205
    25404.214876       0.540814
    25411.862876       0.534560
    25419.515482       0.527228
    25427.172699       0.519005
    25434.834530       0.510189
    25442.500981       0.500961
    25450.172053       0.491198
    25457.847754       0.480382
    25465.528085       0.467621
    25473.213052       0.451911
    25480.902659       0.432188
    25488.596910       0.407560
