194, band 13 module 5 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13028.905658       0.000000
    13029.866181       0.000000
    13030.826845       0.000000
    13031.787651       0.000000
    13032.748599       0.000000
    13033.709689       0.000000
    13034.670920       0.000000
    13035.632293       0.000000
    13036.593808       0.000000
    13037.555465       0.000000
    13038.516226       0.000000
    13039.478166       0.000000
    13040.440249       0.000000
    13041.402473       0.000000
    13042.364839       0.000000
    13043.327348       0.000000
    13044.289998       0.000000
    13045.252791       0.000000
    13046.215726       0.000000
    13047.178802       0.000001
    13048.142021       0.000001
    13049.105383       0.000001
    13050.068886       0.000002
    13051.031493       0.000003
    13051.995281       0.000004
    13052.959211       0.000006
    13053.923284       0.000009
    13054.887499       0.000013
    13055.851857       0.000018
    13056.816357       0.000026
    13057.781000       0.000036
    13058.745785       0.000050
    13059.710713       0.000070
    13060.675783       0.000097
    13061.640996       0.000133
    13062.605310       0.000182
    13063.570809       0.000248
    13064.536450       0.000334
    13065.502234       0.000449
    13066.468160       0.000600
    13067.434230       0.000797
    13068.400442       0.001052
    13069.366797       0.001381
    13070.333295       0.001802
    13071.299936       0.002338
    13072.266720       0.003016
    13073.233647       0.003868
    13074.199674       0.004932
    13075.166887       0.006253
    13076.134243       0.007881
    13077.101743       0.009877
    13078.069385       0.012306
    13079.037171       0.015245
    13080.005100       0.018777
    13080.973172       0.022996
    13081.941388       0.028010
    13082.909746       0.033922
    13083.878249       0.040846
    13084.846894       0.048902
    13085.814638       0.058213
    13086.783571       0.068903
    13087.752647       0.081091
    13088.721866       0.094894
    13089.691229       0.110418
    13090.660736       0.127757
    13091.630386       0.146988
    13092.600180       0.168167
    13093.570117       0.191326
    13094.540199       0.216468
    13095.510424       0.243563
    13096.480792       0.272550
    13097.451305       0.303329
    13098.420914       0.335772
    13099.391715       0.369710
    13100.362659       0.404929
    13101.333747       0.441191
    13102.304979       0.478230
    13103.276355       0.515756
    13104.247875       0.553462
    13105.219539       0.591032
    13106.191348       0.628148
    13107.163300       0.664496
    13108.135396       0.699778
    13109.107637       0.733716
    13110.078973       0.766060
    13111.051503       0.796593
    13112.024176       0.825138
    13112.996994       0.851557
    13113.969956       0.875756
    13114.943062       0.897680
    13115.916313       0.917243
    13116.889709       0.934524
    13117.863249       0.949584
    13118.836933       0.962495
    13119.810762       0.973346
    13120.784736       0.982230
    13121.757803       0.989242
    13122.732066       0.994465
    13123.706473       0.997971
    13124.681025       0.999807
    13125.655722       1.000000
    13126.630564       0.998549
    13127.605550       0.995426
    13128.580681       0.990580
    13129.555958       0.983941
    13130.531379       0.975421
    13131.506945       0.964924
    13132.482656       0.952322
    13133.458512       0.937434
    13134.433460       0.920314
    13135.409606       0.900907
    13136.385897       0.879191
    13137.362333       0.855179
    13138.338914       0.828922
    13139.315641       0.800513
    13140.292513       0.770087
    13141.269530       0.737821
    13142.246692       0.703932
    13143.224000       0.668668
    13144.201453       0.632307
    13145.179051       0.595151
    13146.155740       0.557511
    13147.133630       0.519710
    13148.111664       0.482065
    13149.089845       0.444885
    13150.068170       0.408456
    13151.046642       0.373051
    13152.025259       0.338917
    13153.004021       0.306263
    13153.982929       0.275265
    13154.961984       0.246061
    13155.941183       0.218751
    13156.920529       0.193400
    13157.898964       0.170040
    13158.878601       0.148668
    13159.858384       0.129255
    13160.838313       0.111746
    13161.818387       0.096063
    13162.798608       0.082115
    13163.778975       0.069794
    13164.759488       0.058984
    13165.740147       0.049565
    13166.720952       0.041412
    13167.701903       0.034402
    13168.683001       0.028415
    13169.663186       0.023336
    13170.644575       0.019054
    13171.626111       0.015469
    13172.607794       0.012486
    13173.589622       0.010020
    13174.571597       0.007995
    13175.553719       0.006343
    13176.535986       0.005003
    13177.518401       0.003923
    13178.500962       0.003059
    13179.483669       0.002371
    13180.466523       0.001827
    13181.449523       0.001400
    13182.431610       0.001067
    13183.414904       0.000808
    13184.398344       0.000608
    13185.381931       0.000455
    13186.365665       0.000339
    13187.349546       0.000251
    13188.333573       0.000185
    13189.317747       0.000135
    13190.302069       0.000098
    13191.286537       0.000071
    13192.271152       0.000051
    13193.255914       0.000036
    13194.239761       0.000026
    13195.224817       0.000018
    13196.210020       0.000013
    13197.195370       0.000009
    13198.180868       0.000006
    13199.166513       0.000004
    13200.152304       0.000003
    13201.138244       0.000002
    13202.124330       0.000001
    13203.110564       0.000001
    13204.096945       0.000001
    13205.083474       0.000000
    13206.069085       0.000000
    13207.055908       0.000000
    13208.042879       0.000000
    13209.029997       0.000000
    13210.017263       0.000000
    13211.004677       0.000000
    13211.992238       0.000000
    13212.979946       0.000000
    13213.967803       0.000000
    13214.955807       0.000000
    13215.943959       0.000000
    13216.932258       0.000000
    13217.920706       0.000000
    13218.908235       0.000000
    13219.896978       0.000000
    13220.885869       0.000000
    13221.874908       0.000000
    13222.864095       0.000000
