161, band 11 module 4 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13917.241342       0.000003
    13919.068061       0.000004
    13920.894078       0.000007
    13922.721756       0.000011
    13924.548731       0.000016
    13926.377370       0.000025
    13928.206488       0.000037
    13930.034903       0.000055
    13931.864983       0.000081
    13933.694359       0.000119
    13935.525400       0.000174
    13937.355737       0.000250
    13939.187741       0.000358
    13941.019040       0.000507
    13942.852008       0.000712
    13944.684270       0.000993
    13946.518201       0.001371
    13948.352615       0.001879
    13950.186323       0.002552
    13952.021702       0.003436
    13953.856375       0.004589
    13955.692720       0.006077
    13957.528359       0.007979
    13959.365670       0.010389
    13961.202276       0.013414
    13963.040554       0.017175
    13964.879317       0.021807
    13966.717374       0.027460
    13968.557105       0.034294
    13970.396130       0.042475
    13972.236831       0.052179
    13974.076825       0.063577
    13975.918496       0.076840
    13977.759460       0.092123
    13979.602102       0.109566
    13981.444036       0.129281
    13983.287650       0.151349
    13985.131750       0.175812
    13986.975142       0.202663
    13988.820214       0.231850
    13990.664579       0.263264
    13992.510625       0.296741
    13994.355963       0.332066
    13996.202983       0.368971
    13998.049295       0.407146
    13999.897291       0.446241
    14001.744578       0.485881
    14003.593549       0.525673
    14005.443009       0.565220
    14007.291760       0.604130
    14009.142197       0.642034
    14010.991924       0.678589
    14012.843339       0.713493
    14014.694044       0.746490
    14016.546437       0.777375
    14018.398121       0.805998
    14020.251493       0.832263
    14022.105356       0.856127
    14023.958509       0.877599
    14025.813352       0.896729
    14027.667485       0.913606
    14029.523310       0.928350
    14031.378424       0.941105
    14033.235230       0.952031
    14035.091326       0.961298
    14036.949116       0.969079
    14038.806194       0.975548
    14040.664967       0.980872
    14042.524233       0.985208
    14044.382787       0.988702
    14046.243037       0.991488
    14048.102576       0.993685
    14049.963812       0.995396
    14051.824336       0.996713
    14053.686558       0.997712
    14055.548068       0.998457
    14057.411278       0.999002
    14059.274981       0.999390
    14061.137972       0.999658
    14063.002664       0.999832
    14064.866643       0.999936
    14066.732324       0.999988
    14068.597292       1.000000
    14070.463963       0.999984
    14072.329921       0.999948
    14074.197582       0.999898
    14076.064530       0.999838
    14077.933183       0.999773
    14079.802333       0.999704
    14081.670768       0.999633
    14083.540910       0.999561
    14085.410338       0.999488
    14087.281474       0.999414
    14089.151895       0.999339
    14091.024025       0.999264
    14092.895440       0.999188
    14094.768565       0.999102
    14096.640975       0.998978
    14098.515095       0.998855
    14100.389714       0.998731
    14102.263618       0.998608
    14104.139234       0.998485
    14106.014135       0.998362
    14107.890749       0.998238
    14109.766647       0.998113
    14111.644260       0.997987
    14113.521156       0.997858
    14115.399768       0.997683
    14117.278881       0.997475
    14119.157277       0.997266
    14121.037389       0.997053
    14122.916786       0.996837
    14124.797900       0.996617
    14126.678298       0.996392
    14128.560414       0.996159
    14130.441813       0.995915
    14132.324933       0.995656
    14134.207335       0.995376
    14136.091459       0.995064
    14137.976085       0.994712
    14139.859993       0.994305
    14141.745624       0.993825
    14143.630536       0.993250
    14145.517173       0.992552
    14147.403092       0.991696
    14149.290735       0.990637
    14151.177660       0.989323
    14153.066311       0.987690
    14154.954243       0.985660
    14156.843902       0.983143
    14158.734065       0.980038
    14160.623510       0.976226
    14162.514683       0.971578
    14164.405137       0.965948
    14166.297320       0.959184
    14168.188784       0.951121
    14170.081979       0.941591
    14171.974453       0.930427
    14173.868660       0.917462
    14175.763373       0.902543
    14177.657365       0.885531
    14179.553091       0.866314
    14181.448097       0.844807
    14183.344837       0.820965
    14185.240856       0.794785
    14187.138611       0.766312
    14189.035644       0.735643
    14190.934415       0.702930
    14192.832464       0.668374
    14194.732250       0.632228
    14196.632546       0.594789
    14198.532119       0.556392
    14200.433432       0.517401
    14202.334023       0.478195
    14204.236355       0.439163
    14206.137964       0.400686
    14208.041314       0.363131
    14209.943943       0.326837
    14211.848313       0.292106
    14213.753194       0.259196
    14215.657353       0.228317
    14217.563255       0.199627
    14219.468435       0.173231
    14221.375359       0.149180
    14223.281560       0.127479
    14225.189508       0.108086
    14227.096732       0.090924
    14229.005703       0.075880
    14230.913951       0.062820
    14232.823946       0.051590
    14234.734455       0.042024
    14236.644239       0.033954
    14238.555774       0.027209
    14240.466584       0.021625
    14242.379145       0.017046
    14244.290981       0.013325
    14246.204570       0.010330
    14248.117434       0.007941
    14250.032050       0.006054
    14251.945942       0.004577
    14253.861588       0.003431
    14255.777749       0.002551
    14257.693185       0.001880
    14259.610376       0.001374
    14261.526842       0.000996
    14263.445064       0.000716
    14265.362561       0.000510
    14267.281816       0.000360
    14269.200344       0.000253
    14271.120631       0.000175
    14273.041436       0.000121
    14274.961514       0.000083
    14276.883352       0.000056
    14278.804464       0.000038
    14280.727337       0.000025
    14282.649484       0.000016
    14284.573393       0.000011
    14286.496575       0.000007
    14288.421521       0.000005
    14290.345739       0.000003
