131, band 9 module 4 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14658.723900       0.000003
    14660.481537       0.000005
    14662.239596       0.000008
    14663.999389       0.000011
    14665.758292       0.000016
    14667.517617       0.000023
    14669.277363       0.000032
    14671.037533       0.000045
    14672.798124       0.000064
    14674.559139       0.000089
    14676.320575       0.000124
    14678.083750       0.000171
    14679.846034       0.000235
    14681.608740       0.000320
    14683.371870       0.000433
    14685.135423       0.000582
    14686.899401       0.000778
    14688.663801       0.001034
    14690.428626       0.001364
    14692.193875       0.001790
    14693.960866       0.002333
    14695.726964       0.003022
    14697.493487       0.003891
    14699.260434       0.004977
    14701.027807       0.006328
    14702.795604       0.007994
    14704.563827       0.010037
    14706.332475       0.012524
    14708.102868       0.015530
    14709.872368       0.019139
    14711.642293       0.023442
    14713.412644       0.028536
    14715.183422       0.034525
    14716.954625       0.041515
    14718.726255       0.049619
    14720.498312       0.058947
    14722.270795       0.069607
    14724.045029       0.081704
    14725.818366       0.095335
    14727.592131       0.110582
    14729.366324       0.127517
    14731.140943       0.146191
    14732.915991       0.166635
    14734.691466       0.188854
    14736.467369       0.212827
    14738.245026       0.238506
    14740.021786       0.265810
    14741.798975       0.294631
    14743.576591       0.324829
    14745.354637       0.356240
    14747.133112       0.388669
    14748.912016       0.421905
    14750.691349       0.455714
    14752.471111       0.489853
    14754.252631       0.524068
    14756.033253       0.558107
    14757.814305       0.591717
    14759.595787       0.624660
    14761.377699       0.656706
    14763.160041       0.687651
    14764.942813       0.717309
    14766.726017       0.745525
    14768.510982       0.772169
    14770.295047       0.797144
    14772.079543       0.820381
    14773.864471       0.841843
    14775.649830       0.861519
    14777.435621       0.879425
    14779.221843       0.895602
    14781.008497       0.910109
    14782.795583       0.923024
    14784.584436       0.934438
    14786.372387       0.944453
    14788.160770       0.953177
    14789.949587       0.960722
    14791.738836       0.967203
    14793.528518       0.972731
    14795.318633       0.977415
    14797.109181       0.981359
    14798.901499       0.984662
    14800.692915       0.987412
    14802.484765       0.989694
    14804.277048       0.991579
    14806.069766       0.993135
    14807.862917       0.994419
    14809.656504       0.995480
    14811.450524       0.996362
    14813.244979       0.997099
    14815.041209       0.997718
    14816.836535       0.998245
    14818.632296       0.998696
    14820.428492       0.999085
    14822.225123       0.999422
    14824.022190       0.999715
    14825.819693       0.999935
    14827.617632       0.999985
    14829.417350       1.000000
    14831.216162       0.999981
    14833.015410       0.999929
    14834.815094       0.999842
    14836.615216       0.999718
    14838.415774       0.999558
    14840.216770       0.999357
    14842.018203       0.999113
    14843.820073       0.998824
    14845.623726       0.998483
    14847.426472       0.998088
    14849.229655       0.997606
    14851.033277       0.997054
    14852.837337       0.996419
    14854.641835       0.995691
    14856.446772       0.994850
    14858.252147       0.993879
    14860.059310       0.992750
    14861.865563       0.991435
    14863.672256       0.989897
    14865.479388       0.988094
    14867.286960       0.985978
    14869.094971       0.983490
    14870.903422       0.980567
    14872.712313       0.977137
    14874.521644       0.973121
    14876.332766       0.968431
    14878.142978       0.962975
    14879.953631       0.956654
    14881.764724       0.949364
    14883.576259       0.941001
    14885.388234       0.931457
    14887.200651       0.920628
    14889.013509       0.908416
    14890.828162       0.894727
    14892.641904       0.879481
    14894.456088       0.862610
    14896.270714       0.844064
    14898.085781       0.823815
    14899.901292       0.801854
    14901.717245       0.778202
    14903.533640       0.752906
    14905.350479       0.726040
    14907.169116       0.697708
    14908.986841       0.668043
    14910.805010       0.637204
    14912.623622       0.605375
    14914.442677       0.572760
    14916.262176       0.539582
    14918.082120       0.506076
    14919.902507       0.472484
    14921.724698       0.439051
    14923.545974       0.406018
    14925.367696       0.373618
    14927.189862       0.342070
    14929.012473       0.311575
    14930.835529       0.282311
    14932.659030       0.254433
    14934.482977       0.228068
    14936.307370       0.203313
    14938.133570       0.180237
    14939.958855       0.158883
    14941.784586       0.139262
    14943.610763       0.121364
    14945.437386       0.105154
    14947.264456       0.090578
    14949.091973       0.077563
    14950.919937       0.066025
    14952.749713       0.055869
    14954.578571       0.046992
    14956.407877       0.039288
    14958.237630       0.032648
    14960.067832       0.026966
    14961.898481       0.022137
    14963.729578       0.018061
    14965.561124       0.014646
    14967.393117       0.011803
    14969.226928       0.009453
    14971.059819       0.007525
    14972.893160       0.005952
    14974.726949       0.004679
    14976.561188       0.003656
    14978.395876       0.002838
    14980.231014       0.002190
    14982.066602       0.001679
    14983.904009       0.001279
    14985.740497       0.000969
    14987.577435       0.000729
    14989.414824       0.000545
    14991.252663       0.000405
    14993.090952       0.000299
    14994.929693       0.000219
    14996.768885       0.000160
    14998.608528       0.000116
    15000.449995       0.000083
    15002.290541       0.000060
    15004.131539       0.000042
    15005.972989       0.000030
    15007.814891       0.000021
    15009.657245       0.000015
    15011.500051       0.000010
    15013.343311       0.000007
    15015.188398       0.000005
    15017.032563       0.000003
