249, band 17 module 3 CCD column 730 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    11358.899130       0.000000
    11360.765820       0.000000
    11362.632336       0.000000
    11364.500253       0.000000
    11366.368785       0.000000
    11368.237143       0.000000
    11370.106904       0.000001
    11371.976490       0.000002
    11373.847482       0.000005
    11375.719089       0.000012
    11377.590522       0.000027
    11379.463361       0.000060
    11381.336817       0.000127
    11383.210099       0.000264
    11385.084788       0.000529
    11386.959305       0.001025
    11388.835230       0.001924
    11390.711773       0.003493
    11392.588142       0.006139
    11394.465923       0.010442
    11396.343529       0.017189
    11398.222548       0.027389
    11400.102186       0.042250
    11401.981651       0.063104
    11403.862529       0.091276
    11405.744028       0.127893
    11407.625354       0.173657
    11409.508095       0.228609
    11411.390663       0.291960
    11413.274647       0.362014
    11415.159253       0.436254
    11417.043687       0.511590
    11418.929538       0.584734
    11420.816013       0.652645
    11422.702314       0.712943
    11424.590035       0.764186
    11426.477584       0.805960
    11428.366553       0.838761
    11430.256148       0.863719
    11432.145569       0.882257
    11434.036413       0.895777
    11435.927084       0.905464
    11437.819180       0.912232
    11439.711901       0.916769
    11441.604450       0.919646
    11443.498425       0.921394
    11445.393027       0.922523
    11447.287456       0.923470
    11449.183313       0.924527
    11451.078997       0.925786
    11452.976110       0.927153
    11454.873852       0.928435
    11456.771421       0.929458
    11458.670421       0.930163
    11460.570050       0.930648
    11462.469507       0.931117
    11464.370397       0.931782
    11466.271114       0.932754
    11468.173264       0.933992
    11470.076046       0.935318
    11471.978656       0.936511
    11473.882701       0.937417
    11475.786574       0.938025
    11477.691883       0.938476
    11479.597825       0.938990
    11481.503595       0.939755
    11483.410803       0.940833
    11485.318645       0.942128
    11487.226315       0.943434
    11489.135425       0.944541
    11491.044364       0.945338
    11492.954743       0.945870
    11494.865758       0.946316
    11496.776601       0.946900
    11498.688887       0.947773
    11500.601809       0.948945
    11502.514560       0.950272
    11504.428756       0.951533
    11506.342780       0.952539
    11508.258250       0.953232
    11510.174358       0.953709
    11512.090295       0.954178
    11514.007679       0.954850
    11515.924892       0.955835
    11517.843554       0.957084
    11519.762855       0.958416
    11521.681985       0.959609
    11523.602566       0.960508
    11525.523787       0.961110
    11527.444838       0.961559
    11529.367341       0.962078
    11531.289673       0.962856
    11533.213459       0.963949
    11535.137886       0.965256
    11537.062143       0.966567
    11538.987855       0.967672
    11540.914210       0.968460
    11542.840395       0.968972
    11544.768037       0.969398
    11546.695509       0.969968
    11548.624439       0.970833
    11550.554013       0.971996
    11552.483417       0.973312
    11554.414281       0.974555
    11556.344976       0.975355
    11558.277131       0.975795
    11560.209932       0.976022
    11562.142564       0.976248
    11564.076659       0.976682
    11566.011400       0.977432
    11567.945973       0.978445
    11569.882010       0.979424
    11571.817877       0.980244
    11573.755210       0.980766
    11575.693192       0.980991
    11577.631005       0.981067
    11579.570285       0.981220
    11581.510215       0.981635
    11583.449976       0.982364
    11585.391206       0.983303
    11587.332268       0.984242
    11589.274800       0.984969
    11591.217983       0.985380
    11593.160997       0.985532
    11595.105484       0.985609
    11597.049802       0.985835
    11598.995594       0.986359
    11600.942038       0.987178
    11602.888315       0.988142
    11604.836066       0.989028
    11606.784472       0.989650
    11608.732709       0.989958
    11610.682423       0.990058
    11612.631969       0.990162
    11614.582994       0.990480
    11616.534674       0.991113
    11618.486186       0.992004
    11620.439178       0.992966
    11622.392827       0.993775
    11624.346308       0.994286
    11626.301271       0.994503
    11628.256066       0.994579
    11630.212344       0.994736
    11632.169281       0.995157
    11634.126050       0.995892
    11636.084304       0.996831
    11638.042391       0.997760
    11640.001964       0.998470
    11641.962197       0.998859
    11643.922262       0.998977
    11645.883815       0.998999
    11647.846030       0.999116
    11649.808077       0.999422
    11651.771615       0.999819
    11653.734985       1.000000
    11655.699846       0.999498
    11657.665370       0.997757
    11659.630728       0.994185
    11661.597578       0.988134
    11663.565091       0.978822
    11665.532439       0.965231
    11667.501280       0.946058
    11669.469956       0.919776
    11671.440127       0.884847
    11673.410964       0.840047
    11675.381634       0.784830
    11677.353802       0.719626
    11679.325804       0.645966
    11681.299305       0.566402
    11683.273473       0.484211
    11685.247475       0.402957
    11687.222978       0.326022
    11689.199149       0.256189
    11691.175154       0.195368
    11693.152661       0.144496
    11695.130003       0.103600
    11697.108849       0.071979
    11699.088365       0.048448
    11701.067715       0.031584
    11703.048571       0.019939
    11705.030098       0.012189
    11707.011459       0.007214
    11708.994329       0.004134
    11710.977032       0.002293
    11712.961245       0.001231
    11714.946131       0.000640
    11716.930851       0.000322
    11718.917082       0.000157
    11720.903148       0.000074
    11722.890726       0.000034
    11724.878978       0.000015
    11726.867066       0.000006
    11728.856667       0.000003
    11730.846944       0.000001
    11732.837056       0.000000
    11734.828684       0.000000
    11736.820147       0.000000
    11738.813127       0.000000
    11740.806785       0.000000
    11742.800278       0.000000
