286, band 20 module 1 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    10487.788422       0.000000
    10489.379759       0.000000
    10490.972251       0.000000
    10492.564554       0.000000
    10494.158013       0.000000
    10495.751283       0.000000
    10497.345710       0.000000
    10498.939949       0.000000
    10500.535345       0.000000
    10502.130553       0.000000
    10503.726919       0.000000
    10505.323097       0.000000
    10506.920433       0.000001
    10508.517582       0.000005
    10510.115890       0.000013
    10511.714010       0.000036
    10513.313292       0.000096
    10514.912384       0.000238
    10516.512639       0.000565
    10518.112705       0.001273
    10519.713934       0.002726
    10521.314974       0.005554
    10522.917178       0.010757
    10524.519194       0.019813
    10526.122374       0.034703
    10527.725366       0.057808
    10529.329523       0.091599
    10530.933492       0.138093
    10532.538627       0.198151
    10534.143574       0.270777
    10535.749688       0.352690
    10537.355614       0.438440
    10538.962707       0.521215
    10540.569613       0.594238
    10542.177687       0.652408
    10543.785573       0.693607
    10545.394628       0.719174
    10547.003496       0.733244
    10548.613534       0.741205
    10550.223384       0.747793
    10551.834405       0.755601
    10553.445239       0.764598
    10555.057244       0.772825
    10556.669062       0.777884
    10558.282052       0.778473
    10559.894855       0.775278
    10561.508831       0.770753
    10563.122620       0.767965
    10564.737583       0.769089
    10566.352359       0.774326
    10567.968310       0.781815
    10569.584074       0.788544
    10571.201013       0.791880
    10572.817766       0.790885
    10574.435695       0.786798
    10576.053437       0.782412
    10577.672357       0.780683
    10579.291089       0.783244
    10580.911001       0.789569
    10582.530725       0.797247
    10584.151628       0.803179
    10585.772345       0.805132
    10587.394242       0.802868
    10589.015951       0.798268
    10590.638842       0.794396
    10592.261546       0.793953
    10593.885432       0.797930
    10595.509131       0.805102
    10597.134013       0.812634
    10598.758708       0.817501
    10600.384587       0.818011
    10602.010279       0.814657
    10603.637156       0.809870
    10605.264532       0.806815
    10606.891722       0.807795
    10608.520097       0.813093
    10610.148286       0.820824
    10611.777661       0.827879
    10613.406850       0.831480
    10615.037227       0.830574
    10616.667416       0.826382
    10618.298795       0.821786
    10619.929986       0.819895
    10621.562368       0.822488
    10623.194563       0.829162
    10624.827948       0.837469
    10626.461146       0.844155
    10628.095537       0.846832
    10629.729740       0.845142
    10631.365136       0.840920
    10633.000345       0.837264
    10634.636747       0.837225
    10636.272963       0.841773
    10637.910373       0.849555
    10639.547596       0.857715
    10641.186014       0.863177
    10642.824246       0.864204
    10644.463674       0.861296
    10646.102915       0.857030
    10647.743353       0.854583
    10649.383605       0.856261
    10651.025054       0.862326
    10652.666317       0.870822
    10654.308778       0.878552
    10655.951053       0.882692
    10657.594528       0.882239
    10659.237816       0.878493
    10660.882305       0.874436
    10662.526607       0.873225
    10664.172111       0.876592
    10665.817429       0.883956
    10667.463949       0.892710
    10669.110282       0.899550
    10670.757819       0.902101
    10672.405169       0.900164
    10674.053723       0.895814
    10675.702092       0.892359
    10677.351665       0.892665
    10679.001052       0.897710
    10680.651645       0.906094
    10682.302052       0.914691
    10683.953665       0.920273
    10685.605093       0.921125
    10687.257728       0.917918
    10688.910177       0.913384
    10690.563835       0.910938
    10692.217307       0.912971
    10693.871988       0.919590
    10695.526484       0.928597
    10697.182190       0.936577
    10698.837709       0.940619
    10700.494441       0.939794
    10702.150986       0.935636
    10703.808744       0.931387
    10705.466315       0.930325
    10707.125100       0.934147
    10708.783699       0.942085
    10710.443513       0.951282
    10712.103140       0.958231
    10713.763983       0.960553
    10715.424639       0.958212
    10717.086512       0.953511
    10718.748199       0.949977
    10720.411103       0.950559
    10722.074522       0.956136
    10723.737757       0.965061
    10725.402209       0.973991
    10727.066476       0.979570
    10728.731962       0.980110
    10730.397262       0.976482
    10732.063783       0.971670
    10733.730118       0.969270
    10735.397674       0.971668
    10737.065044       0.978835
    10738.733637       0.988304
    10740.402044       0.996387
    10742.071674       1.000000
    10743.741118       0.998129
    10745.411787       0.992174
    10747.082270       0.984957
    10748.753977       0.978839
    10750.425499       0.973814
    10752.098247       0.966578
    10753.770810       0.951062
    10755.444599       0.920263
    10757.118203       0.868671
    10758.793035       0.794332
    10760.467681       0.699776
    10762.143556       0.591495
    10763.819245       0.478323
    10765.496164       0.369326
    10767.172898       0.271917
    10768.850862       0.190729
    10770.528641       0.127379
    10772.207652       0.080969
    10773.886477       0.048975
    10775.566534       0.028183
    10777.246407       0.015428
    10778.927513       0.008033
    10780.608433       0.003979
    10782.290588       0.001874
    10783.972558       0.000840
    10785.655763       0.000358
    10787.338783       0.000145
    10789.023038       0.000056
    10790.707109       0.000021
    10792.392417       0.000007
    10794.077541       0.000002
    10795.763901       0.000001
    10797.450078       0.000000
    10799.137493       0.000000
    10800.824723       0.000000
    10802.513193       0.000000
    10804.201479       0.000000
    10805.891004       0.000000
    10807.580346       0.000000
    10809.270929       0.000000
    10810.961328       0.000000
    10812.652969       0.000000
    10814.344425       0.000000
