105, band 7 module 5 CCD column 730 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    15870.597287       0.000000
    15872.965126       0.000000
    15875.332133       0.000000
    15877.701385       0.000000
    15880.069805       0.000000
    15882.440471       0.000000
    15884.810305       0.000000
    15887.182387       0.000000
    15889.553637       0.000000
    15891.925594       0.000000
    15894.299802       0.000000
    15896.673177       0.000001
    15899.048803       0.000001
    15901.423597       0.000002
    15903.800643       0.000004
    15906.176857       0.000007
    15908.555325       0.000012
    15910.932959       0.000022
    15913.312850       0.000039
    15915.691907       0.000067
    15918.073221       0.000114
    15920.453702       0.000191
    15922.836442       0.000314
    15925.218347       0.000510
    15927.602514       0.000814
    15929.985845       0.001279
    15932.371440       0.001979
    15934.756199       0.003014
    15937.143222       0.004518
    15939.529410       0.006667
    15941.917864       0.009686
    15944.305482       0.013852
    15946.695368       0.019504
    15949.084417       0.027036
    15951.475735       0.036896
    15953.866218       0.049575
    15956.258970       0.065587
    15958.650886       0.085440
    15961.045074       0.109603
    15963.438426       0.138464
    15965.834051       0.172287
    15968.228838       0.211166
    15970.625901       0.254985
    15973.022127       0.303394
    15975.420630       0.355793
    15977.818294       0.411342
    15980.218238       0.468991
    15982.617343       0.527533
    15985.018728       0.585675
    15987.419275       0.642122
    15989.820543       0.695667
    15992.224093       0.745278
    15994.626805       0.790163
    15997.031801       0.829817
    15999.435957       0.864041
    16001.842400       0.892925
    16004.248003       0.916805
    16006.655893       0.936202
    16009.062943       0.951739
    16011.472282       0.964070
    16013.880782       0.973807
    16016.291572       0.981471
    16018.701521       0.987471
    16021.113763       0.992096
    16023.525164       0.995541
    16025.938858       0.997934
    16028.351712       0.999382
    16030.766861       1.000000
    16033.181169       0.999934
    16035.597774       0.999368
    16038.013538       0.998514
    16040.431600       0.997586
    16042.848820       0.996774
    16045.268340       0.996212
    16047.687018       0.995959
    16050.107998       0.995992
    16052.528136       0.996215
    16054.950577       0.996486
    16057.372175       0.996647
    16059.796079       0.996564
    16062.219139       0.996154
    16064.644506       0.995407
    16067.069030       0.994385
    16069.495862       0.993212
    16071.921850       0.992044
    16074.350148       0.991036
    16076.777603       0.990305
    16079.207369       0.989906
    16081.636291       0.989823
    16084.067526       0.989965
    16086.497916       0.990194
    16088.929041       0.990349
    16091.362482       0.990310
    16093.795078       0.989962
    16096.229991       0.989275
    16098.664059       0.988298
    16101.100445       0.987144
    16103.535986       0.985965
    16105.973848       0.984918
    16108.410864       0.984134
    16110.850201       0.983684
    16113.288693       0.983566
    16115.729509       0.983763
    16118.169478       0.984247
    16120.611773       0.984701
    16123.053220       0.984973
    16125.496995       0.984952
    16127.939923       0.984595
    16130.385180       0.983930
    16132.829589       0.983055
    16135.276329       0.982116
    16137.722221       0.981272
    16140.170445       0.980660
    16142.617821       0.980341
    16145.067531       0.980341
    16147.516393       0.980619
    16149.967590       0.981054
    16152.417938       0.981492
    16154.870624       0.981779
    16157.322460       0.981792
    16159.776635       0.981471
    16162.229962       0.980828
    16164.685628       0.979946
    16167.140445       0.978960
    16169.597604       0.978023
    16172.053913       0.977278
    16174.512566       0.976818
    16176.970369       0.976663
    16179.430516       0.976755
    16181.889814       0.976960
    16184.351459       0.977093
    16186.812253       0.976942
    16189.273796       0.976300
    16191.737688       0.974990
    16194.200729       0.972870
    16196.666120       0.969833
    16199.130661       0.965779
    16201.597554       0.960586
    16204.063596       0.954069
    16206.531992       0.945950
    16208.999536       0.935837
    16211.469436       0.923228
    16213.938485       0.907533
    16216.409890       0.888123
    16218.880444       0.864400
    16221.353356       0.835867
    16223.825416       0.802207
    16226.299837       0.763344
    16228.773405       0.719480
    16231.249336       0.671113
    16233.724413       0.619016
    16236.201854       0.564193
    16238.678443       0.507813
    16241.157397       0.451125
    16243.635497       0.395376
    16246.115965       0.341724
    16248.595579       0.291173
    16251.077561       0.244525
    16253.558690       0.202344
    16256.042189       0.164959
    16258.524835       0.132469
    16261.009852       0.104772
    16263.494015       0.081608
    16265.980552       0.062594
    16268.466233       0.047274
    16270.954291       0.035154
    16273.441493       0.025737
    16275.931073       0.018551
    16278.419797       0.013165
    16280.910900       0.009197
    16283.401148       0.006325
    16285.892157       0.004282
    16288.385548       0.002854
    16290.878083       0.001873
    16293.373001       0.001209
    16295.867062       0.000769
    16298.363509       0.000481
    16300.859098       0.000296
    16303.357075       0.000180
    16305.854194       0.000107
    16308.353701       0.000063
    16310.852351       0.000036
    16313.353392       0.000021
    16315.853574       0.000012
    16318.356149       0.000006
    16320.857865       0.000003
    16323.361975       0.000002
    16325.865227       0.000001
    16328.370873       0.000001
    16330.875662       0.000000
    16333.382847       0.000000
    16335.889173       0.000000
    16338.397898       0.000000
    16340.905763       0.000000
    16343.416029       0.000000
    16345.925436       0.000000
    16348.437245       0.000000
    16350.948193       0.000000
    16353.461546       0.000000
    16355.974039       0.000000
