313, band 21 module 5 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
     9581.950002       0.000000
     9584.195437       0.000000
     9586.441925       0.000000
     9588.689467       0.000000
     9590.939185       0.000000
     9593.188836       0.000000
     9595.439542       0.000002
     9597.691305       0.000008
     9599.945250       0.000035
     9602.199129       0.000135
     9604.454066       0.000466
     9606.711188       0.001440
     9608.968245       0.003974
     9611.226363       0.009799
     9613.485542       0.021592
     9615.746912       0.042558
     9618.008218       0.075137
     9620.270587       0.119127
     9622.534020       0.171146
     9624.799650       0.224021
     9627.065215       0.269335
     9629.331848       0.302278
     9631.600680       0.323173
     9633.869449       0.335871
     9636.139286       0.344252
     9638.410194       0.350064
     9640.683307       0.353604
     9642.956357       0.355606
     9645.230479       0.357672
     9647.506811       0.360867
     9649.783080       0.364593
     9652.060424       0.367482
     9654.338843       0.369253
     9656.619476       0.371144
     9658.900048       0.374260
     9661.181697       0.378094
     9663.464425       0.381157
     9665.749372       0.382995
     9668.034259       0.384803
     9670.320227       0.387861
     9672.608417       0.391774
     9674.896549       0.395017
     9677.185763       0.396945
     9679.476061       0.398700
     9681.768587       0.401660
     9684.061055       0.405634
     9686.354608       0.409062
     9688.649248       0.411128
     9690.946122       0.412812
     9693.242939       0.415661
     9695.540844       0.419677
     9697.840987       0.423323
     9700.141074       0.425517
     9702.442251       0.427143
     9704.744521       0.429867
     9707.049033       0.433932
     9709.353490       0.437767
     9711.659041       0.440110
     9713.965687       0.441692
     9716.274582       0.444307
     9718.583422       0.448378
     9720.893359       0.452395
     9723.205548       0.454907
     9725.517683       0.456485
     9727.830918       0.458967
     9730.145254       0.463014
     9732.461847       0.467207
     9734.778387       0.469925
     9737.096030       0.471511
     9739.415935       0.473844
     9741.735787       0.477845
     9744.056744       0.482218
     9746.378807       0.485157
     9748.703138       0.486760
     9751.027417       0.488944
     9753.352804       0.492886
     9755.679301       0.497429
     9758.008070       0.500589
     9760.336789       0.502234
     9762.666619       0.504279
     9764.998726       0.508147
     9767.330782       0.512825
     9769.663953       0.516219
     9771.998822       0.517939
     9774.334223       0.519865
     9776.671325       0.523615
     9779.008961       0.528408
     9781.348299       0.532053
     9783.688756       0.533899
     9786.029750       0.535693
     9788.372448       0.539311
     9790.715684       0.544201
     9793.060627       0.548002
     9795.406108       0.549838
     9797.753298       0.551363
     9800.101028       0.554667
     9802.450469       0.560701
     9804.800450       0.566027
     9807.152146       0.569290
     9809.504970       0.571975
     9811.858335       0.577281
     9814.213418       0.584490
     9816.569043       0.591124
     9818.926388       0.595594
     9821.284277       0.599218
     9823.643887       0.604475
     9826.004042       0.611709
     9828.365921       0.618610
     9830.728936       0.623290
     9833.092497       0.626815
     9835.457786       0.631842
     9837.823622       0.639065
     9840.191187       0.646244
     9842.559301       0.651158
     9844.929146       0.654604
     9847.299542       0.659387
     9849.671671       0.666573
     9852.044350       0.674018
     9854.418766       0.679189
     9856.794327       0.682588
     9859.170440       0.687124
     9861.548292       0.694236
     9863.926698       0.701918
     9866.306845       0.707377
     9868.687547       0.710773
     9871.069993       0.715061
     9873.452994       0.722044
     9875.837742       0.729945
     9878.223642       0.735725
     9880.610099       0.739166
     9882.998305       0.743190
     9885.387070       0.750003
     9887.777587       0.758100
     9890.168663       0.764239
     9892.561493       0.767750
     9894.954884       0.771513
     9897.350030       0.778120
     9899.745739       0.786401
     9902.143206       0.792896
     9904.541835       0.796521
     9906.941026       0.800036
     9909.341980       0.806422
     9911.743498       0.814826
     9914.146781       0.821691
     9916.550629       0.825476
     9918.956243       0.828785
     9921.362424       0.834891
     9923.770374       0.843377
     9926.179493       0.850620
     9928.589180       0.854634
     9931.000639       0.857740
     9933.412668       0.863533
     9935.826471       0.872056
     9938.240845       0.879696
     9940.656996       0.883971
     9943.073718       0.886901
     9945.492220       0.892355
     9947.911898       0.900882
     9950.332149       0.908904
     9952.754184       0.913479
     9955.176792       0.916269
     9957.601186       0.921377
     9960.026155       0.929850
     9962.452911       0.938232
     9964.880244       0.943151
     9967.309367       0.945857
     9969.739067       0.950602
     9972.170559       0.958958
     9974.603238       0.967681
     9977.036496       0.972996
     9979.471550       0.975664
     9981.907184       0.979986
     9984.344616       0.987992
     9986.782630       0.996369
     9989.222444       1.000000
     9991.662840       0.996783
     9994.105040       0.986402
     9996.548433       0.963666
     9998.992411       0.915467
    10001.438195       0.827566
    10003.884565       0.696772
    10006.332743       0.537240
    10008.781508       0.375016
    10011.232084       0.235293
    10013.683248       0.132132
    10016.136225       0.066250
    10018.589792       0.029619
    10021.045174       0.011798
    10023.501759       0.004185
    10025.958936       0.001322
    10028.417931       0.000372
    10030.877519       0.000093
    10033.338928       0.000021
    10035.800931       0.000004
    10038.264757       0.000001
    10040.729178       0.000000
    10043.195426       0.000000
    10045.662884       0.000000
    10048.130940       0.000000
    10050.600825       0.000000
