199, band 14 module 2 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    12979.749246       0.000000
    12980.806407       0.000000
    12981.864769       0.000000
    12982.922275       0.000000
    12983.979953       0.000000
    12985.037803       0.000000
    12986.095826       0.000000
    12987.154021       0.000000
    12988.213418       0.000000
    12989.271959       0.000000
    12990.330671       0.000000
    12991.389557       0.000000
    12992.448615       0.000000
    12993.508876       0.000000
    12994.568280       0.000000
    12995.627856       0.000000
    12996.687606       0.000000
    12997.747528       0.000000
    12998.808654       0.000000
    12999.868922       0.000000
    13000.929363       0.000001
    13001.989977       0.000001
    13003.050765       0.000001
    13004.112757       0.000002
    13005.173891       0.000003
    13006.235197       0.000005
    13007.296677       0.000008
    13008.358331       0.000012
    13009.421190       0.000018
    13010.483190       0.000027
    13011.545364       0.000040
    13012.607711       0.000060
    13013.670232       0.000087
    13014.733959       0.000127
    13015.796827       0.000183
    13016.859868       0.000262
    13017.923083       0.000371
    13018.986472       0.000522
    13020.051069       0.000730
    13021.114806       0.001011
    13022.178716       0.001389
    13023.242800       0.001894
    13024.307058       0.002562
    13025.372526       0.003438
    13026.437132       0.004579
    13027.501912       0.006049
    13028.566866       0.007929
    13029.631995       0.010311
    13030.698334       0.013303
    13031.763811       0.017028
    13032.829462       0.021626
    13033.895287       0.027249
    13034.961287       0.034067
    13036.028499       0.042257
    13037.094848       0.052007
    13038.161371       0.063508
    13039.228069       0.076951
    13040.294941       0.092515
    13041.363026       0.110367
    13042.430248       0.130649
    13043.497644       0.153471
    13044.565216       0.178899
    13045.632962       0.206955
    13046.701921       0.237599
    13047.770017       0.270731
    13048.838288       0.306185
    13049.906733       0.343725
    13050.975354       0.383051
    13052.045190       0.423798
    13053.114160       0.465552
    13054.183306       0.507850
    13055.252628       0.550204
    13056.322124       0.592110
    13057.392836       0.633071
    13058.462683       0.672609
    13059.532706       0.710289
    13060.602903       0.745730
    13061.673277       0.778623
    13062.744867       0.808742
    13063.815591       0.835945
    13064.886491       0.860182
    13065.957566       0.881491
    13067.028817       0.899989
    13068.101286       0.915862
    13069.172889       0.929350
    13070.244667       0.940731
    13071.316622       0.950299
    13072.388752       0.958351
    13073.462101       0.965168
    13074.534583       0.971000
    13075.607241       0.976057
    13076.680075       0.980503
    13077.753085       0.984449
    13078.827315       0.987960
    13079.900678       0.991061
    13080.974216       0.993760
    13082.047931       0.996085
    13083.121823       0.997911
    13084.195890       0.999194
    13085.271179       0.999897
    13086.345600       1.000000
    13087.420197       0.999503
    13088.494970       0.998424
    13089.569920       0.996798
    13090.646093       0.994669
    13091.721396       0.992081
    13092.796876       0.989066
    13093.872533       0.985635
    13094.948366       0.981763
    13096.025423       0.977388
    13097.101611       0.972395
    13098.177975       0.966626
    13099.254516       0.959874
    13100.331234       0.951885
    13101.409177       0.942376
    13102.486249       0.931052
    13103.563499       0.917616
    13104.640926       0.901793
    13105.718530       0.883341
    13106.797359       0.862074
    13107.875318       0.837873
    13108.953454       0.810699
    13110.031767       0.780603
    13111.110258       0.747722
    13112.189975       0.712284
    13113.268821       0.674597
    13114.347844       0.635040
    13115.427045       0.594058
    13116.506424       0.552135
    13117.587030       0.509748
    13118.666764       0.467402
    13119.746676       0.425587
    13120.826766       0.384764
    13121.907033       0.345353
    13122.988530       0.307717
    13124.069154       0.272161
    13125.149955       0.238921
    13126.230935       0.208167
    13127.312092       0.180001
    13128.394480       0.154463
    13129.475994       0.131535
    13130.557687       0.111151
    13131.639557       0.093203
    13132.721606       0.077546
    13133.804886       0.064016
    13134.887292       0.052437
    13135.969876       0.042618
    13137.052638       0.034367
    13138.135580       0.027497
    13139.219753       0.021829
    13140.303051       0.017194
    13141.386529       0.013437
    13142.470184       0.010418
    13143.554019       0.008014
    13144.639087       0.006117
    13145.723279       0.004632
    13146.807650       0.003480
    13147.892200       0.002594
    13148.976930       0.001918
    13150.062893       0.001408
    13151.147980       0.001025
    13152.233247       0.000740
    13153.318692       0.000530
    13154.404317       0.000377
    13155.491177       0.000266
    13156.577160       0.000186
    13157.663323       0.000129
    13158.749665       0.000089
    13159.836186       0.000061
    13160.923944       0.000041
    13162.010825       0.000028
    13163.097885       0.000018
    13164.185125       0.000012
    13165.272544       0.000008
    13166.361201       0.000005
    13167.448980       0.000003
    13168.536938       0.000002
    13169.625076       0.000001
    13170.713395       0.000001
    13171.802952       0.000001
    13172.891630       0.000000
    13173.980488       0.000000
    13175.069526       0.000000
    13176.158744       0.000000
    13177.248143       0.000000
    13178.338781       0.000000
    13179.428540       0.000000
    13180.518479       0.000000
    13181.608599       0.000000
    13182.698899       0.000000
    13183.790440       0.000000
    13184.881100       0.000000
    13185.971941       0.000000
    13187.062963       0.000000
    13188.154166       0.000000
    13189.246610       0.000000
    13190.338174       0.000000
    13191.429918       0.000000
    13192.521844       0.000000
    13193.613949       0.000000
