129, band 9 module 3 CCD column 730 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14649.918453       0.000000
    14651.675289       0.000000
    14653.431236       0.000000
    14655.187605       0.000000
    14656.944394       0.000000
    14658.702916       0.000000
    14660.460548       0.000000
    14662.218602       0.000001
    14663.977077       0.000001
    14665.737288       0.000002
    14667.496607       0.000003
    14669.256349       0.000005
    14671.016513       0.000008
    14672.778414       0.000013
    14674.539423       0.000020
    14676.300856       0.000031
    14678.062711       0.000047
    14679.824989       0.000071
    14681.589006       0.000106
    14683.352131       0.000158
    14685.115680       0.000232
    14686.879652       0.000339
    14688.645365       0.000490
    14690.410186       0.000701
    14692.175430       0.000995
    14693.941099       0.001398
    14695.708511       0.001947
    14697.475029       0.002686
    14699.241972       0.003673
    14701.009340       0.004975
    14702.778452       0.006676
    14704.546670       0.008878
    14706.315314       0.011698
    14708.084383       0.015272
    14709.855199       0.019756
    14711.625120       0.025324
    14713.395467       0.032165
    14715.166240       0.040484
    14716.938762       0.050494
    14718.710388       0.062411
    14720.482441       0.076448
    14722.254920       0.092806
    14724.027827       0.111662
    14725.802484       0.133163
    14727.576245       0.157411
    14729.350433       0.184456
    14731.125049       0.214284
    14732.901418       0.246814
    14734.676889       0.281888
    14736.452789       0.319274
    14738.229117       0.358665
    14740.007199       0.399685
    14741.784384       0.441902
    14743.561997       0.484836
    14745.340040       0.527980
    14747.119838       0.570816
    14748.898739       0.612832
    14750.678068       0.653548
    14752.457828       0.692524
    14754.239345       0.729384
    14756.019964       0.763823
    14757.801012       0.795617
    14759.582491       0.824622
    14761.365729       0.850776
    14763.148068       0.874094
    14764.930838       0.894654
    14766.714038       0.912590
    14768.497670       0.928076
    14770.283063       0.941312
    14772.067557       0.952514
    14773.852481       0.961901
    14775.637837       0.969687
    14777.424958       0.976074
    14779.211178       0.981250
    14780.997829       0.985386
    14782.784913       0.988637
    14784.573763       0.991143
    14786.361711       0.993032
    14788.150092       0.994420
    14789.938906       0.995412
    14791.729488       0.996105
    14793.519167       0.996583
    14795.309280       0.996921
    14797.099826       0.997179
    14798.892143       0.997403
    14800.683556       0.997628
    14802.475403       0.997871
    14804.267684       0.998139
    14806.061738       0.998426
    14807.854887       0.998722
    14809.648472       0.999010
    14811.442490       0.999275
    14813.236944       0.999503
    14815.033171       0.999685
    14816.828495       0.999819
    14818.624254       0.999908
    14820.420448       0.999961
    14822.218419       0.999987
    14824.015484       1.000000
    14825.812986       0.999988
    14827.610923       0.999895
    14829.410639       0.999805
    14831.209449       0.999714
    14833.008695       0.999613
    14834.808378       0.999490
    14836.609842       0.999332
    14838.410399       0.999127
    14840.211393       0.998865
    14842.012825       0.998544
    14843.816038       0.998164
    14845.618345       0.997732
    14847.421090       0.997258
    14849.224272       0.996728
    14851.027893       0.996173
    14852.833298       0.995595
    14854.637795       0.994988
    14856.442731       0.994336
    14858.248105       0.993609
    14860.055266       0.992763
    14861.861519       0.991742
    14863.668211       0.990478
    14865.475342       0.988889
    14867.284262       0.986883
    14869.092272       0.984357
    14870.900722       0.981194
    14872.709613       0.977269
    14874.520293       0.972444
    14876.330065       0.966564
    14878.140276       0.959461
    14879.950928       0.950952
    14881.763373       0.940840
    14883.574907       0.928921
    14885.386882       0.914987
    14887.199298       0.898837
    14889.013509       0.880285
    14890.826809       0.859174
    14892.640550       0.835389
    14894.454734       0.808867
    14896.269359       0.779609
    14898.085781       0.747689
    14899.901292       0.713259
    14901.717245       0.676549
    14903.533640       0.637864
    14905.351835       0.597575
    14907.169116       0.556113
    14908.986841       0.513946
    14910.805010       0.471569
    14912.624979       0.429482
    14914.444035       0.388173
    14916.263534       0.348098
    14918.083478       0.309672
    14919.905224       0.273249
    14921.726057       0.239119
    14923.547334       0.207498
    14925.369055       0.178531
    14927.192582       0.152290
    14929.015193       0.128780
    14930.838250       0.107949
    14932.661752       0.089692
    14934.487061       0.073862
    14936.311455       0.060285
    14938.136294       0.048763
    14939.961580       0.039090
    14941.787311       0.031053
    14943.614852       0.024445
    14945.441476       0.019069
    14947.268547       0.014740
    14949.096065       0.011290
    14950.925394       0.008569
    14952.753806       0.006444
    14954.582666       0.004802
    14956.411973       0.003545
    14958.243093       0.002593
    14960.073296       0.001880
    14961.903946       0.001350
    14963.735045       0.000961
    14965.567959       0.000677
    14967.399954       0.000473
    14969.232398       0.000327
    14971.065291       0.000225
    14972.900001       0.000153
    14974.733793       0.000103
    14976.568033       0.000068
    14978.402723       0.000045
    14980.239232       0.000030
    14982.074822       0.000019
    14983.910861       0.000012
    14985.747351       0.000008
    14987.584290       0.000005
    14989.423052       0.000003
    14991.260893       0.000002
    14993.099185       0.000001
    14994.937927       0.000001
    14996.778493       0.000000
    14998.618139       0.000000
    15000.458235       0.000000
    15002.298784       0.000000
    15004.141158       0.000000
    15005.982610       0.000000
    15007.824514       0.000000
