40, band 3 module 4 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    22111.177494       0.000000
    22115.775355       0.000000
    22120.375128       0.000000
    22124.976815       0.000001
    22129.578923       0.000001
    22134.184440       0.000002
    22138.791875       0.000003
    22143.399732       0.000004
    22148.011005       0.000007
    22152.624198       0.000012
    22157.239314       0.000019
    22161.854854       0.000031
    22166.473817       0.000048
    22171.094706       0.000076
    22175.717522       0.000117
    22180.340764       0.000180
    22184.967437       0.000272
    22189.596040       0.000408
    22194.226575       0.000606
    22198.857539       0.000888
    22203.491941       0.001288
    22208.128278       0.001848
    22212.766552       0.002622
    22217.405257       0.003680
    22222.047407       0.005110
    22226.691497       0.007017
    22231.337529       0.009531
    22235.983994       0.012807
    22240.633912       0.017022
    22245.285775       0.022381
    22249.939585       0.029111
    22254.593830       0.037460
    22259.251535       0.047689
    22263.911191       0.060066
    22268.572797       0.074856
    22273.234842       0.092309
    22277.900354       0.112643
    22282.567821       0.136035
    22287.237244       0.162599
    22291.907108       0.192379
    22296.580447       0.225332
    22301.255745       0.261318
    22305.933005       0.300103
    22310.610708       0.341352
    22315.291893       0.384637
    22319.975043       0.429452
    22324.660158       0.475227
    22329.345720       0.521352
    22334.034771       0.567200
    22338.725791       0.612154
    22343.418783       0.655633
    22348.112223       0.697116
    22352.809160       0.736162
    22357.508071       0.772420
    22362.208959       0.805643
    22366.910297       0.835685
    22371.615139       0.862500
    22376.321962       0.886128
    22381.029236       0.906687
    22385.740021       0.924354
    22390.452790       0.939349
    22395.167543       0.951917
    22399.882751       0.962323
    22404.601476       0.970827
    22409.322190       0.977687
    22414.044894       0.983142
    22418.768056       0.987417
    22423.494742       0.990714
    22428.223422       0.993216
    22432.954097       0.995084
    22437.685232       0.996456
    22442.419899       0.997449
    22447.156566       0.998158
    22451.895232       0.998663
    22456.634360       0.999021
    22461.377029       0.999275
    22466.121701       0.999453
    22470.868379       0.999573
    22475.615521       0.999648
    22480.366212       0.999685
    22485.118911       0.999690
    22489.873620       0.999670
    22494.628796       0.999635
    22499.387529       0.999594
    22504.148275       0.999560
    22508.911037       0.999542
    22513.674268       0.999547
    22518.441062       0.999580
    22523.209876       0.999639
    22527.980710       0.999719
    22532.752017       0.999812
    22537.526894       0.999909
    22542.303796       1.000000
    22547.082723       0.999718
    22551.862125       0.999395
    22556.645107       0.999054
    22561.430117       0.998699
    22566.217158       0.998334
    22571.004676       0.997966
    22575.795782       0.997600
    22580.588921       0.997238
    22585.384097       0.996881
    22590.179752       0.996525
    22594.979002       0.995990
    22599.780292       0.995046
    22604.582064       0.994084
    22609.387436       0.993099
    22614.194852       0.992091
    22619.004312       0.991062
    22623.814257       0.990018
    22628.627811       0.988966
    22633.443413       0.987915
    22638.261065       0.986872
    22643.079205       0.985841
    22647.900960       0.984815
    22652.724770       0.983795
    22657.550635       0.982778
    22662.376989       0.981757
    22667.206968       0.980722
    22672.039006       0.979664
    22676.873105       0.978576
    22681.707696       0.977451
    22686.545919       0.976286
    22691.386206       0.975074
    22696.228560       0.973805
    22701.071408       0.972470
    22705.917896       0.971034
    22710.766454       0.969459
    22715.617084       0.967689
    22720.468210       0.965651
    22725.322985       0.963253
    22730.179835       0.960384
    22735.038762       0.956912
    22739.898188       0.952684
    22744.761271       0.947527
    22749.626434       0.941252
    22754.493679       0.933646
    22759.361426       0.924477
    22764.232839       0.913502
    22769.106336       0.900473
    22773.981921       0.885141
    22778.858011       0.867275
    22783.737773       0.846667
    22788.619627       0.823155
    22793.503573       0.796634
    22798.388027       0.767072
    22803.276162       0.734528
    22808.166393       0.699149
    22813.058722       0.661180
    22817.951561       0.620968
    22822.848089       0.578942
    22827.746719       0.535610
    22832.645862       0.491532
    22837.548699       0.447301
    22842.453643       0.403513
    22847.360693       0.360750
    22852.268259       0.319549
    22857.179528       0.280385
    22862.092908       0.243651
    22867.008402       0.209653
    22871.924413       0.178600
    22876.844135       0.150610
    22881.765974       0.125708
    22886.689931       0.103838
    22891.614409       0.084879
    22896.542607       0.068653
    22901.472926       0.054941
    22906.405370       0.043500
    22911.338337       0.034073
    22916.275031       0.026403
    22921.213853       0.020238
    22926.154805       0.015345
    22931.096282       0.011509
    22936.041496       0.008538
    22940.988843       0.006265
    22945.938324       0.004546
    22950.888335       0.003263
    22955.842090       0.002317
    22960.797983       0.001627
    22965.756017       0.001130
    22970.714582       0.000776
    22975.676900       0.000527
    22980.641362       0.000354
    22985.607971       0.000235
    22990.575113       0.000155
    22995.546017       0.000100
    23000.519070       0.000065
    23005.494275       0.000041
    23010.470017       0.000026
    23015.449528       0.000016
    23020.431195       0.000010
    23025.415019       0.000006
    23030.399382       0.000004
    23035.387524       0.000002
    23040.377826       0.000001
    23045.370291       0.000001
    23050.363299       0.000000
    23055.360093       0.000000
    23060.359054       0.000000
    23065.358560       0.000000
