38, band 3 module 3 CCD column 374 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    22098.791742       0.000000
    22103.381471       0.000000
    22107.973106       0.000000
    22112.566650       0.000000
    22117.162102       0.000001
    22121.757972       0.000001
    22126.357246       0.000002
    22130.958434       0.000004
    22135.561535       0.000006
    22140.166551       0.000011
    22144.771988       0.000017
    22149.380837       0.000028
    22153.991606       0.000044
    22158.604295       0.000069
    22163.218905       0.000107
    22167.833937       0.000165
    22172.452392       0.000251
    22177.072773       0.000377
    22181.695079       0.000562
    22186.319312       0.000827
    22190.943971       0.001203
    22195.572062       0.001732
    22200.202084       0.002465
    22204.834037       0.003470
    22209.467924       0.004833
    22214.103746       0.006655
    22218.739997       0.009066
    22223.379690       0.012214
    22228.021322       0.016277
    22232.664892       0.021455
    22237.310404       0.027974
    22241.956347       0.036079
    22246.605743       0.046032
    22251.257083       0.058101
    22255.910368       0.072551
    22260.565600       0.089635
    22265.221266       0.109574
    22269.880394       0.132548
    22274.541473       0.158677
    22279.204503       0.188007
    22283.869486       0.220500
    22288.534906       0.256022
    22293.203798       0.294339
    22297.874645       0.335117
    22302.547451       0.377931
    22307.222215       0.422273
    22311.897420       0.467570
    22316.576106       0.513210
    22321.256753       0.558564
    22325.939365       0.603013
    22330.623941       0.645974
    22335.308962       0.686927
    22339.997472       0.725432
    22344.687951       0.761143
    22349.380399       0.793819
    22354.074819       0.823321
    22358.769686       0.849612
    22363.468052       0.872742
    22368.168393       0.892837
    22372.870709       0.910081
    22377.575004       0.924700
    22382.279748       0.936944
    22386.988001       0.947074
    22391.698234       0.955353
    22396.410450       0.962030
    22401.124650       0.967343
    22405.839303       0.971512
    22410.557474       0.974735
    22415.277632       0.977189
    22419.999778       0.979032
    22424.723915       0.980402
    22429.448508       0.981414
    22434.176628       0.982166
    22438.906741       0.982736
    22443.638850       0.983182
    22448.372955       0.983547
    22453.107520       0.983862
    22457.845620       0.984148
    22462.585721       0.984416
    22467.327824       0.984676
    22472.071929       0.984940
    22476.816496       0.985218
    22481.564609       0.985527
    22486.314729       0.985883
    22491.066857       0.986305
    22495.820994       0.986808
    22500.575595       0.987409
    22505.333753       0.988113
    22510.093924       0.988922
    22514.856108       0.989827
    22519.620309       0.990813
    22524.384977       0.991859
    22529.153211       0.992940
    22533.923464       0.994033
    22538.695738       0.995115
    22543.470034       0.996107
    22548.244801       0.996786
    22553.023143       0.997411
    22557.803511       0.997975
    22562.585906       0.998474
    22567.370329       0.998908
    22572.155227       0.999273
    22576.943710       0.999568
    22581.734224       0.999789
    22586.526773       0.999933
    22591.321356       1.000000
    22596.116417       0.999710
    22600.915072       0.999113
    22605.715766       0.998453
    22610.518500       0.997740
    22615.323276       0.996988
    22620.128532       0.996210
    22624.937393       0.995420
    22629.748299       0.994626
    22634.561251       0.993833
    22639.376251       0.993041
    22644.191735       0.992248
    22649.010834       0.991431
    22653.831984       0.990596
    22658.655187       0.989737
    22663.480445       0.988847
    22668.306189       0.987919
    22673.135559       0.986951
    22677.966986       0.985934
    22682.800473       0.984861
    22687.636021       0.983714
    22692.472059       0.982466
    22697.311732       0.981081
    22702.153469       0.979503
    22706.997273       0.977656
    22711.843144       0.975447
    22716.689508       0.972763
    22721.539517       0.969467
    22726.391598       0.965404
    22731.245751       0.960395
    22736.101978       0.954241
    22740.958703       0.946720
    22745.819081       0.937596
    22750.681538       0.926619
    22755.546074       0.913528
    22760.412691       0.898065
    22765.279808       0.879986
    22770.150590       0.859075
    22775.023456       0.835163
    22779.898408       0.808141
    22784.775448       0.777977
    22789.652991       0.744729
    22794.534209       0.708553
    22799.417518       0.669712
    22804.302920       0.628569
    22809.190416       0.585573
    22814.078420       0.541252
    22818.970107       0.496191
    22823.863893       0.451005
    22828.759779       0.406314
    22833.657765       0.362719
    22838.556261       0.320771
    22843.458453       0.280955
    22848.362749       0.243675
    22853.269152       0.209236
    22858.177662       0.177847
    22863.086686       0.149616
    22867.999414       0.124560
    22872.914255       0.102613
    22877.831208       0.083638
    22882.750276       0.067445
    22887.669862       0.053803
    22892.593162       0.042458
    22897.518581       0.033141
    22902.446119       0.025587
    22907.375779       0.019538
    22912.305960       0.014756
    22917.239866       0.011022
    22922.175897       0.008141
    22927.114055       0.005948
    22932.054341       0.004297
    22936.995151       0.003070
    22941.939697       0.002169
    22946.886375       0.001515
    22951.835187       0.001047
    22956.786134       0.000715
    22961.737608       0.000483
    22966.692828       0.000323
    22971.650188       0.000213
    22976.609688       0.000139
    22981.571330       0.000090
    22986.533503       0.000057
    22991.499432       0.000036
    22996.467507       0.000023
    23001.437730       0.000014
    23006.410102       0.000009
    23011.383008       0.000005
    23016.359681       0.000003
    23021.338507       0.000002
    23026.319488       0.000001
    23031.302624       0.000001
    23036.287918       0.000000
    23041.273750       0.000000
    23046.263362       0.000000
    23051.255135       0.000000
