121, band 9 module 1 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14668.438148       0.000000
    14670.198116       0.000000
    14671.958506       0.000000
    14673.719318       0.000000
    14675.481868       0.000000
    14677.243527       0.000000
    14679.005608       0.000000
    14680.768113       0.000000
    14682.532357       0.000000
    14684.295709       0.000000
    14686.059484       0.000000
    14687.825000       0.000000
    14689.589623       0.000000
    14691.354670       0.000000
    14693.120142       0.000000
    14694.887356       0.000000
    14696.653677       0.000000
    14698.420422       0.000000
    14700.187593       0.000001
    14701.956507       0.000002
    14703.724528       0.000003
    14705.492974       0.000006
    14707.261845       0.000010
    14709.032463       0.000018
    14710.802186       0.000031
    14712.572335       0.000053
    14714.342910       0.000089
    14716.115233       0.000149
    14717.886661       0.000243
    14719.658515       0.000392
    14721.430797       0.000623
    14723.204828       0.000975
    14724.977963       0.001504
    14726.751525       0.002287
    14728.525515       0.003426
    14730.301256       0.005060
    14732.076102       0.007363
    14733.851374       0.010559
    14735.627075       0.014923
    14737.404529       0.020784
    14739.181087       0.028529
    14740.958072       0.038593
    14742.735486       0.051453
    14744.514656       0.067610
    14746.292928       0.087560
    14748.071629       0.111769
    14749.850759       0.140630
    14751.631647       0.174421
    14753.411636       0.213265
    14755.192055       0.257086
    14756.972904       0.305579
    14758.755512       0.358194
    14760.537221       0.414130
    14762.319360       0.472361
    14764.101930       0.531673
    14765.886260       0.590731
    14767.669692       0.648156
    14769.453554       0.702622
    14771.239178       0.752942
    14773.023903       0.798164
    14774.809059       0.837630
    14776.594646       0.871029
    14778.381998       0.898403
    14780.168449       0.920125
    14781.955332       0.936844
    14783.742647       0.949407
    14785.531729       0.958756
    14787.319909       0.965829
    14789.108522       0.971461
    14790.897568       0.976311
    14792.688382       0.980814
    14794.478293       0.985171
    14796.268638       0.989366
    14798.059417       0.993218
    14799.851965       0.996456
    14801.643611       0.998792
    14803.435691       1.000000
    14805.228205       0.999976
    14807.022491       0.998773
    14808.815873       0.996604
    14810.609690       0.993816
    14812.403942       0.990846
    14814.199968       0.988145
    14815.995089       0.986118
    14817.790646       0.985053
    14819.586638       0.985078
    14821.384406       0.986142
    14823.181270       0.988026
    14824.978569       0.990377
    14826.776304       0.992767
    14828.575817       0.994765
    14830.374424       0.996008
    14832.173468       0.996258
    14833.972949       0.995443
    14835.774209       0.993665
    14837.574564       0.991185
    14839.375355       0.988378
    14841.176584       0.985670
    14842.979594       0.983467
    14844.781698       0.982089
    14846.584239       0.981715
    14848.388564       0.982357
    14850.191981       0.983855
    14851.995837       0.985907
    14853.800130       0.988117
    14855.606210       0.990062
    14857.411381       0.991363
    14859.216991       0.991747
    14861.023040       0.991091
    14862.830876       0.989445
    14864.637803       0.987022
    14866.445170       0.984162
    14868.252977       0.981278
    14870.062572       0.978783
    14871.871259       0.977027
    14873.680385       0.976235
    14875.489952       0.976471
    14877.301310       0.977628
    14879.111758       0.979441
    14880.922646       0.981533
    14882.733976       0.983474
    14884.547098       0.984847
    14886.359310       0.985314
    14888.171964       0.984662
    14889.985058       0.982828
    14891.799948       0.979898
    14893.613927       0.976071
    14895.428347       0.971610
    14897.243210       0.966763
    14899.059870       0.961692
    14900.875617       0.956406
    14902.691808       0.950711
    14904.508441       0.944192
    14906.326873       0.936226
    14908.144393       0.926025
    14909.962356       0.912708
    14911.780762       0.895390
    14913.600969       0.873282
    14915.420263       0.845781
    14917.240001       0.812551
    14919.060183       0.773570
    14920.882168       0.729152
    14922.703239       0.679937
    14924.524755       0.626844
    14926.346715       0.571012
    14928.170480       0.513710
    14929.993330       0.456254
    14931.816626       0.399918
    14933.641729       0.345854
    14935.465916       0.295038
    14937.290548       0.248228
    14939.115627       0.205944
    14940.942514       0.168469
    14942.768485       0.135871
    14944.594903       0.108028
    14946.421767       0.084668
    14948.250442       0.065412
    14950.078200       0.049812
    14951.906405       0.037388
    14953.735057       0.027659
    14955.565522       0.020168
    14957.395069       0.014494
    14959.225064       0.010266
    14961.055507       0.007166
    14962.887764       0.004930
    14964.719104       0.003343
    14966.550891       0.002234
    14968.383128       0.001471
    14970.217180       0.000955
    14972.050315       0.000611
    14973.883898       0.000385
    14975.717930       0.000239
    14977.553781       0.000147
    14979.388712       0.000088
    14981.224093       0.000053
    14983.059924       0.000031
    14984.897576       0.000018
    14986.734307       0.000010
    14988.571489       0.000006
    14990.409121       0.000003
    14992.248576       0.000002
    14994.087110       0.000001
    14995.926095       0.000000
    14997.765531       0.000000
    14999.606791       0.000000
    15001.447131       0.000000
    15003.287921       0.000000
    15005.129164       0.000000
    15006.972233       0.000000
    15008.814381       0.000000
    15010.656980       0.000000
    15012.501408       0.000000
    15014.344913       0.000000
    15016.188870       0.000000
    15018.033281       0.000000
    15019.879522       0.000000
    15021.724840       0.000000
    15023.570611       0.000000
    15025.416835       0.000000
    15027.264892       0.000000
