73, band 5 module 5 CCD column 10 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    19246.962589       0.000000
    19250.447452       0.000000
    19253.935840       0.000000
    19257.425492       0.000000
    19260.914146       0.000000
    19264.406329       0.000000
    19267.897512       0.000000
    19271.392228       0.000000
    19274.888211       0.000000
    19278.383195       0.000000
    19281.881716       0.000000
    19285.379237       0.000000
    19288.880297       0.000001
    19292.382629       0.000001
    19295.883961       0.000002
    19299.388837       0.000004
    19302.892712       0.000008
    19306.400135       0.000015
    19309.908833       0.000027
    19313.416530       0.000048
    19316.927779       0.000083
    19320.438026       0.000142
    19323.951828       0.000239
    19327.466909       0.000396
    19330.980988       0.000644
    19334.498627       0.001030
    19338.015264       0.001621
    19341.535463       0.002510
    19345.056945       0.003823
    19348.577424       0.005729
    19352.101470       0.008445
    19355.624514       0.012248
    19359.151128       0.017475
    19362.679027       0.024530
    19366.205923       0.033877
    19369.736395       0.046032
    19373.265863       0.061544
    19376.798909       0.080964
    19380.333244       0.104812
    19383.866575       0.133532
    19387.403489       0.167437
    19390.939399       0.206663
    19394.478895       0.251123
    19398.019683       0.300469
    19401.559467       0.354079
    19405.102841       0.411062
    19408.645210       0.470288
    19412.191174       0.530448
    19415.738433       0.590134
    19419.284687       0.647934
    19422.834539       0.702540
    19426.383386       0.752839
    19429.935834       0.797997
    19433.489582       0.837510
    19437.042324       0.871218
    19440.598672       0.899291
    19444.154014       0.922168
    19447.712965       0.940483
    19451.273219       0.954972
    19454.832467       0.966376
    19458.395328       0.975366
    19461.959495       0.982485
    19465.522655       0.988128
    19469.089434       0.992544
    19472.655205       0.995870
    19476.224599       0.998179
    19479.795301       0.999526
    19483.364995       1.000000
    19486.938316       0.999744
    19490.510629       0.998962
    19494.086572       0.997904
    19497.663827       0.996826
    19501.240074       0.995956
    19504.819955       0.995450
    19508.398828       0.995367
    19511.981338       0.995660
    19515.565164       0.996194
    19519.147982       0.996773
    19522.734441       0.997190
    19526.319892       0.997270
    19529.908988       0.996909
    19533.498239       0.996102
    19537.088809       0.994937
    19540.681865       0.993577
    19544.275078       0.992225
    19547.869611       0.991076
    19551.465468       0.990263
    19555.062647       0.989857
    19558.662318       0.989821
    19562.262147       0.990029
    19565.863301       0.990292
    19569.465781       0.990405
    19573.069587       0.990189
    19576.675891       0.989535
    19580.282354       0.988432
    19583.890147       0.986964
    19587.499268       0.985161
    19591.109721       0.983252
    19594.722676       0.981581
    19598.335792       0.980320
    19601.950241       0.979556
    19605.566023       0.979274
    19609.183139       0.979360
    19612.802765       0.979626
    19616.422552       0.979851
    19620.043676       0.979826
    19623.666137       0.979405
    19627.289935       0.978559
    19630.916249       0.977307
    19634.542726       0.975783
    19638.170543       0.974185
    19641.799702       0.972728
    19645.431379       0.971597
    19649.063222       0.970906
    19652.696407       0.970671
    19656.330937       0.970809
    19659.966811       0.971156
    19663.605210       0.971503
    19667.243776       0.971640
    19670.883688       0.971404
    19674.524949       0.970713
    19678.167557       0.969587
    19681.812697       0.968139
    19685.458005       0.966554
    19689.104663       0.965043
    19692.752673       0.963798
    19696.402034       0.962950
    19700.053933       0.962535
    19703.706002       0.962484
    19707.359425       0.962634
    19711.014203       0.962753
    19714.670337       0.962584
    19718.329014       0.961887
    19721.987862       0.960466
    19725.648068       0.958192
    19729.309633       0.954994
    19732.972558       0.950830
    19736.638032       0.945646
    19740.303678       0.939325
    19743.970687       0.931640
    19747.639058       0.922221
    19751.308792       0.910556
    19754.981082       0.896008
    19758.653546       0.877875
    19762.327376       0.855460
    19766.002572       0.828165
    19769.680328       0.795577
    19773.358260       0.757541
    19777.037561       0.714216
    19780.718231       0.666087
    19784.400271       0.613951
    19788.084877       0.558864
    19791.769661       0.502068
    19795.455817       0.444897
    19799.143346       0.388680
    19802.832250       0.334648
    19806.523725       0.283860
    19810.215380       0.237150
    19813.908411       0.195097
    19817.602819       0.158017
    19821.298605       0.125986
    19824.996969       0.098867
    19828.695513       0.076357
    19832.395438       0.058034
    19836.096744       0.043403
    19839.799432       0.031941
    19843.504704       0.023128
    19847.210158       0.016477
    19850.916996       0.011549
    19854.625219       0.007965
    19858.334828       0.005404
    19862.047027       0.003607
    19865.759410       0.002369
    19869.473181       0.001530
    19873.188341       0.000973
    19876.904890       0.000608
    19880.624036       0.000374
    19884.343367       0.000226
    19888.064091       0.000135
    19891.786206       0.000079
    19895.510924       0.000045
    19899.235828       0.000026
    19902.962127       0.000014
    19906.689822       0.000008
    19910.418913       0.000004
    19914.150612       0.000002
    19917.882500       0.000001
    19921.615786       0.000001
    19925.350472       0.000000
    19929.086559       0.000000
    19932.825260       0.000000
    19936.564150       0.000000
    19940.304444       0.000000
    19944.046141       0.000000
    19947.789243       0.000000
    19951.534965       0.000000
    19955.280878       0.000000
    19959.028199       0.000000
    19962.776927       0.000000
    19966.527063       0.000000
