189, band 13 module 3 CCD column 730 from OLCI S3A spectral characterisation S3A_O_CCDB_V7.02_2015_20_11_OL/NetCDF/S3A_OL_CCDB_CHAR_AllFiles.20151120093949_1.nc4 created Fri Feb 12 17:55:38 2016
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13023.511954       0.000000
    13024.472717       0.000000
    13025.433622       0.000000
    13026.394669       0.000000
    13027.355857       0.000000
    13028.317187       0.000000
    13029.278660       0.000000
    13030.240274       0.000000
    13031.202030       0.000000
    13032.163928       0.000000
    13033.125968       0.000000
    13034.088150       0.000001
    13035.050474       0.000001
    13036.012941       0.000001
    13036.975549       0.000002
    13037.938300       0.000002
    13038.901192       0.000003
    13039.864228       0.000005
    13040.827405       0.000006
    13041.790725       0.000009
    13042.754186       0.000012
    13043.717791       0.000017
    13044.681538       0.000023
    13045.645427       0.000031
    13046.609458       0.000042
    13047.573632       0.000057
    13048.537949       0.000076
    13049.502408       0.000101
    13050.467010       0.000135
    13051.431754       0.000179
    13052.396641       0.000235
    13053.361671       0.000308
    13054.326843       0.000403
    13055.292158       0.000523
    13056.257616       0.000676
    13057.223217       0.000870
    13058.188960       0.001115
    13059.154847       0.001421
    13060.120876       0.001804
    13061.087048       0.002279
    13062.053364       0.002865
    13063.019822       0.003585
    13063.986423       0.004465
    13064.953167       0.005536
    13065.920055       0.006832
    13066.887085       0.008391
    13067.854259       0.010259
    13068.821576       0.012484
    13069.789036       0.015121
    13070.756639       0.018231
    13071.724386       0.021879
    13072.692276       0.026135
    13073.660309       0.031075
    13074.628485       0.036779
    13075.596805       0.043330
    13076.565269       0.050814
    13077.533876       0.059317
    13078.502626       0.068927
    13079.471520       0.079728
    13080.440558       0.091804
    13081.409739       0.105221
    13082.379064       0.120048
    13083.348532       0.136350
    13084.318144       0.154172
    13085.287900       0.173548
    13086.257800       0.194494
    13087.227843       0.217009
    13088.198031       0.241072
    13089.168362       0.266641
    13090.138837       0.293652
    13091.109455       0.322020
    13092.080218       0.351636
    13093.051125       0.382370
    13094.023223       0.414074
    13094.994418       0.446579
    13095.965757       0.479699
    13096.937240       0.513238
    13097.908867       0.546988
    13098.880639       0.580722
    13099.852555       0.614233
    13100.824615       0.647304
    13101.796819       0.679723
    13102.769168       0.711286
    13103.741660       0.741803
    13104.714298       0.771095
    13105.687079       0.799004
    13106.660006       0.825389
    13107.633076       0.850130
    13108.606291       0.873126
    13109.579651       0.894299
    13110.553155       0.913588
    13111.526804       0.930951
    13112.500597       0.946361
    13113.474535       0.959804
    13114.448618       0.971278
    13115.422845       0.980838
    13116.397218       0.988534
    13117.371735       0.994286
    13118.346397       0.998106
    13119.321203       1.000000
    13120.296155       0.999973
    13121.271251       0.998027
    13122.246493       0.994156
    13123.221879       0.988355
    13124.197411       0.980614
    13125.173087       0.970924
    13126.148909       0.959276
    13127.124875       0.945668
    13128.100987       0.930105
    13129.077244       0.912601
    13130.053646       0.893184
    13131.030194       0.871897
    13132.006886       0.848800
    13132.983724       0.824086
    13133.960708       0.797777
    13134.937836       0.769950
    13135.915110       0.740742
    13136.892530       0.710313
    13137.870095       0.678839
    13138.847805       0.646509
    13139.825661       0.613527
    13140.803663       0.580104
    13141.781810       0.546454
    13142.760103       0.512796
    13143.738542       0.479342
    13144.717126       0.446301
    13145.695856       0.413869
    13146.674731       0.382232
    13147.653753       0.351557
    13148.632920       0.321993
    13149.612233       0.293671
    13150.591692       0.266690
    13151.571297       0.241146
    13152.551048       0.217104
    13153.530945       0.194605
    13154.510988       0.173671
    13155.491177       0.154303
    13156.471512       0.136485
    13157.451993       0.120185
    13158.432621       0.105357
    13159.413394       0.091942
    13160.394314       0.079873
    13161.375380       0.069072
    13162.356592       0.059461
    13163.337951       0.050953
    13164.319455       0.043463
    13165.301107       0.036904
    13166.282905       0.031191
    13167.264849       0.026241
    13168.246939       0.021975
    13169.229177       0.018317
    13170.211560       0.015198
    13171.194090       0.012552
    13172.176767       0.010318
    13173.159591       0.008443
    13174.142561       0.006876
    13175.125678       0.005574
    13176.108942       0.004498
    13177.092352       0.003612
    13178.075909       0.002888
    13179.059613       0.002298
    13180.043464       0.001820
    13181.027462       0.001434
    13182.011607       0.001126
    13182.995899       0.000879
    13183.980337       0.000683
    13184.964923       0.000529
    13185.949656       0.000407
    13186.934536       0.000312
    13187.919563       0.000238
    13188.904737       0.000181
    13189.890059       0.000137
    13190.875528       0.000103
    13191.861143       0.000077
    13192.846907       0.000057
    13193.832817       0.000043
    13194.818875       0.000031
    13195.805081       0.000023
    13196.791433       0.000017
    13197.777934       0.000012
    13198.764581       0.000009
    13199.751377       0.000006
    13200.738320       0.000005
    13201.725410       0.000003
    13202.712648       0.000002
    13203.700034       0.000002
    13204.687567       0.000001
    13205.675249       0.000001
    13206.663077       0.000001
    13207.651054       0.000000
    13208.639179       0.000000
    13209.627451       0.000000
    13210.615872       0.000000
    13211.604440       0.000000
    13212.593156       0.000000
    13213.582020       0.000000
    13214.571033       0.000000
    13215.560193       0.000000
    13216.549501       0.000000
    13217.538958       0.000000
